iter	Passed	Remaining
0	3	319
1	5	291
2	8	260
3	10	250
4	12	239
5	14	232
6	17	226
7	19	221
8	21	216
9	23	212
10	25	207
11	27	204
12	30	200
13	32	197
14	34	195
15	36	192
16	38	190
17	41	187
18	43	184
19	45	181
20	47	179
21	49	176
22	52	174
23	54	171
24	56	168
25	58	165
26	60	163
27	62	161
28	64	158
29	67	156
30	69	154
31	72	153
32	74	150
33	76	147
34	78	145
35	80	142
36	82	141
37	85	138
38	87	136
39	89	134
40	91	131
41	93	129
42	95	126
43	98	124
44	100	122
45	102	120
46	104	117
47	106	115
48	108	113
49	110	110
50	112	108
51	115	106
52	117	104
53	119	101
54	121	99
55	123	97
56	125	94
57	128	92
58	130	90
59	132	88
60	134	86
61	137	83
62	139	82
63	141	79
64	143	77
65	146	75
66	148	73
67	150	71
68	153	68
69	155	66
70	157	64
71	159	61
72	161	59
73	163	57
74	165	55
75	167	53
76	170	50
77	172	48
78	174	46
79	176	44
80	178	41
81	181	39
82	183	37
83	185	35
84	188	33
85	190	30
86	192	28
87	194	26
88	196	24
89	198	22
90	200	19
91	202	17
92	204	15
93	207	13
94	209	11
95	211	8
96	213	6
97	215	4
98	217	2
99	220	0
