c1,c2,class,real_spearman,synth_spearman,error
inr_max,pt_max,0,0.9944,0.9327,0.0617
inr_max,pt_max,1,0.9994,0.9465,0.0529
ast_max,ldh_max,0,0.5815,0.5162,0.0653
ast_max,ldh_max,1,0.7632,0.563,0.2002
ast_max,alt_max,0,0.5065,0.4287,0.0779
ast_max,alt_max,1,0.7321,0.5532,0.1789
lactate_max,bicarbonate_min,0,-0.1504,-0.0053,0.1451
lactate_max,bicarbonate_min,1,-0.6213,-0.5386,0.0828
lactate_max,ph_min,0,-0.1233,0.0439,0.1672
lactate_max,ph_min,1,-0.5202,-0.331,0.1892
bicarbonate_min,base_excess_min,0,0.9595,0.8981,0.0614
bicarbonate_min,base_excess_min,1,0.9824,0.9263,0.056
shock_index,map_min,0,-0.6519,-0.5009,0.151
shock_index,map_min,1,-0.6312,-0.4711,0.1601
shock_index,heart_rate_max,0,0.4658,0.3466,0.1192
shock_index,heart_rate_max,1,0.4662,0.3856,0.0806
resp_rate_max,heart_rate_max,0,0.3673,0.2932,0.0741
resp_rate_max,heart_rate_max,1,0.3436,0.3058,0.0378
hematocrit_min,hemoglobin_min,0,0.6957,0.6193,0.0764
hematocrit_min,hemoglobin_min,1,0.7545,0.7002,0.0543
ldh_max,ck_max,0,0.3148,0.3092,0.0056
ldh_max,ck_max,1,0.4674,0.4164,0.0511
ptt_max,inr_max,0,0.4571,0.4046,0.0525
ptt_max,inr_max,1,0.6915,0.6193,0.0722
