feature,class,ks_within_class
urea_max,1,0.1008
bilirubin_mean,1,0.0969
crp_min,1,0.0939
glucose_trend,1,0.0935
creatinine_max,1,0.0914
crp_mean,1,0.0902
crp_first,1,0.0897
crp_max,1,0.089
alt_first,1,0.0882
n_antibiotics_24h,0,0.0839
pt_first,1,0.0811
inr_mean,1,0.0804
inr_min,1,0.0792
creatinine_mean,1,0.0786
pt_min,1,0.0785
sodium_min,0,0.0758
sodium_trend,0,0.0758
ptt_min,1,0.0746
pt_mean,1,0.0735
alt_mean,1,0.072
sodium_min,1,0.0716
sodium_first,0,0.0712
potassium_min,1,0.0699
ast_min,1,0.0699
ast_max,1,0.0689
inr_first,1,0.0687
potassium_max,0,0.0686
ptt_max,1,0.0684
sodium_max,1,0.0681
ptt_mean,1,0.0679
ptt_first,1,0.0678
inr_max,1,0.0675
pt_max,1,0.0671
ast_first,1,0.0641
resp_rate_trend,0,0.0638
potassium_max,1,0.0628
anc_min,1,0.0624
sodium_max,0,0.0619
lactate_min,1,0.0587
potassium_min,0,0.0564
alc_max,1,0.0555
potassium_first,0,0.0555
alc_first,1,0.0546
potassium_first,1,0.0537
spo2_lab_first,1,0.0532
anc_max,1,0.0531
ck_first,1,0.053
lactate_min,0,0.0527
anc_mean,1,0.0523
alc_mean,1,0.0515
ck_min,1,0.0512
alc_min,1,0.0507
ck_max,1,0.0502
anc_first,1,0.0502
glucose_min,0,0.0486
n_antibiotics_24h,1,0.0479
sodium_first,1,0.0472
ast_mean,1,0.0469
spo2_lab_first,0,0.0467
ck_min,0,0.0443
ck_max,0,0.0439
ck_first,0,0.0438
potassium_mean,1,0.0435
alc_min,0,0.0429
glucose_mean,0,0.0416
alt_min,1,0.0412
ck_mean,1,0.0412
alc_first,0,0.0409
calcium_min,0,0.0406
anc_min,0,0.0405
alt_max,1,0.0403
lactate_first,1,0.0394
anc_mean,0,0.0394
glucose_first,0,0.0391
lactate_first,0,0.0389
alc_max,0,0.0388
anc_max,0,0.0388
glucose_max,0,0.0381
calcium_first,1,0.0367
alc_mean,0,0.0365
ck_mean,0,0.0364
anc_first,0,0.0356
anion_gap_max,0,0.0354
pco2_first,1,0.0342
platelets_first,0,0.034
spo2_lab_min,1,0.0339
glucose_first,1,0.0336
calcium_first,0,0.0335
lactate_max,0,0.0332
spo2_trend,1,0.0327
platelets_min,0,0.0325
lactate_mean,1,0.0324
anion_gap_first,0,0.0322
platelets_max,0,0.0319
spo2_lab_mean,1,0.0314
platelets_max,1,0.0308
ph_max,1,0.0306
wbc_min,0,0.0303
hematocrit_first,1,0.0302
calcium_min,1,0.03
anion_gap_mean,0,0.0298
wbc_max,1,0.0294
lactate_max,1,0.0289
potassium_mean,0,0.0287
glucose_min,1,0.0287
sodium_mean,0,0.0285
hemoglobin_min,1,0.0283
glucose_mean,1,0.0278
platelets_mean,0,0.0277
base_excess_min,0,0.027
urea_first,1,0.0268
bicarbonate_min,0,0.0267
bicarbonate_max,1,0.0266
base_excess_first,0,0.0265
alt_first,0,0.0264
bilirubin_first,1,0.0264
pao2_first,1,0.0262
bicarbonate_first,1,0.0258
platelets_mean,1,0.0256
ph_first,1,0.0255
pco2_min,0,0.0253
anion_gap_min,0,0.0252
base_excess_max,1,0.0251
base_excess_max,0,0.025
bicarbonate_mean,1,0.0249
spo2_lab_mean,0,0.0249
sodium_mean,1,0.0245
wbc_mean,0,0.0242
wbc_max,0,0.0242
alt_mean,0,0.0242
bicarbonate_first,0,0.0242
lactate_mean,0,0.0239
hemoglobin_first,0,0.0237
spo2_lab_min,0,0.0236
ph_max,0,0.0235
wbc_first,0,0.0235
wbc_first,1,0.0234
glucose_max,1,0.0234
calcium_max,0,0.023
hematocrit_min,1,0.0229
hemoglobin_first,1,0.0228
hemoglobin_max,0,0.0226
hematocrit_max,0,0.0226
hemoglobin_max,1,0.0223
creatinine_first,1,0.0223
bilirubin_min,1,0.0223
wbc_mean,1,0.0221
ph_min,0,0.0219
bilirubin_first,0,0.0218
pco2_mean,1,0.0218
ast_first,0,0.0216
hematocrit_mean,1,0.0213
ph_first,0,0.0212
ddimer_min,1,0.0212
hemoglobin_mean,1,0.0211
bilirubin_max,1,0.0211
calcium_mean,1,0.021
urea_mean,1,0.0208
pco2_min,1,0.0207
calcium_max,1,0.0206
bicarbonate_mean,0,0.0205
hemoglobin_min,0,0.0204
pao2_max,1,0.0202
anion_gap_first,1,0.02
ldh_first,1,0.02
spo2_trend,0,0.0198
ddimer_max,1,0.0197
hemoglobin_mean,0,0.0194
anion_gap_max,1,0.0194
platelets_first,1,0.0192
ph_min,1,0.0191
ph_mean,1,0.019
hematocrit_min,0,0.0189
pao2_first,0,0.0186
pco2_first,0,0.0186
anion_gap_mean,1,0.0185
wbc_min,1,0.0184
platelets_min,1,0.0184
pao2_min,0,0.0183
ast_mean,0,0.0183
uric_acid_first,1,0.0182
ast_min,0,0.0182
anion_gap_min,1,0.0182
ph_mean,0,0.0182
pco2_max,0,0.0181
base_excess_min,1,0.018
ast_max,0,0.0179
pco2_mean,0,0.0179
pao2_mean,0,0.0178
ddimer_first,1,0.0177
hematocrit_max,1,0.0175
calcium_mean,0,0.0173
pao2_mean,1,0.0173
uric_acid_min,1,0.0171
bilirubin_mean,0,0.0169
creatinine_mean,0,0.0168
hematocrit_first,0,0.0168
bicarbonate_max,0,0.0166
pao2_max,0,0.0161
ddimer_mean,1,0.016
base_excess_first,1,0.016
urine_output_total_ml,1,0.0159
uric_acid_max,1,0.0159
uric_acid_mean,1,0.0157
bilirubin_min,0,0.0157
inr_mean,0,0.0155
pao2_min,1,0.0155
bilirubin_max,0,0.0154
pco2_max,1,0.0154
base_excess_mean,1,0.0151
base_excess_mean,0,0.0151
ldh_mean,1,0.015
hematocrit_mean,0,0.0149
ldh_min,1,0.0149
alt_min,0,0.0146
ldh_mean,0,0.0145
alt_max,0,0.0139
bicarbonate_min,1,0.0139
ldh_first,0,0.0139
ldh_max,1,0.0137
creatinine_min,0,0.0119
creatinine_first,0,0.0115
creatinine_max,0,0.0114
albumin_first,1,0.0113
fibrinogen_mean,1,0.0111
pt_mean,0,0.0106
temperature_first,1,0.0103
ptt_mean,0,0.0102
albumin_mean,1,0.0102
fibrinogen_min,1,0.0101
fibrinogen_first,1,0.0101
ldh_min,0,0.0095
heart_rate_min,1,0.0093
map_min,1,0.0091
ldh_max,0,0.0091
inr_first,0,0.0091
fibrinogen_max,1,0.0088
map_mean,1,0.0087
albumin_min,1,0.0083
creatinine_min,1,0.0082
ptt_first,0,0.0081
systolic_bp_first,0,0.0079
map_first,1,0.0077
heart_rate_max,1,0.0076
urea_min,1,0.0072
albumin_max,1,0.0071
systolic_bp_mean,0,0.007
urea_first,0,0.0069
map_max,1,0.0068
temperature_mean,1,0.0067
diastolic_bp_first,1,0.0066
crp_min,0,0.0063
uric_acid_first,0,0.0057
systolic_bp_min,0,0.0056
diastolic_bp_mean,1,0.0056
crp_max,0,0.0056
resp_rate_mean,0,0.0055
systolic_bp_max,0,0.0054
uric_acid_min,0,0.0053
urea_mean,0,0.0053
diastolic_bp_min,1,0.0052
spo2_lab_max,0,0.0052
systolic_bp_min,1,0.0051
spo2_first,1,0.005
heart_rate_first,1,0.0048
pt_first,0,0.0047
uric_acid_max,0,0.0046
uric_acid_mean,0,0.0046
crp_first,0,0.0046
spo2_mean,1,0.0045
diastolic_bp_max,1,0.0045
ptt_min,0,0.0045
pt_min,0,0.0044
crp_mean,0,0.0043
inr_min,0,0.0042
ptt_max,0,0.0041
pt_max,0,0.0039
urea_min,0,0.0037
systolic_bp_max,1,0.0037
inr_max,0,0.0035
resp_rate_min,1,0.0034
temperature_min,1,0.0033
resp_rate_mean,1,0.0033
resp_rate_first,1,0.0033
systolic_bp_mean,1,0.0032
urea_max,0,0.0032
heart_rate_mean,1,0.0031
heart_rate_mean,0,0.0029
resp_rate_first,0,0.0027
systolic_bp_first,1,0.0025
diastolic_bp_min,0,0.0024
temperature_mean,0,0.0024
map_first,0,0.0024
albumin_min,0,0.0022
fibrinogen_first,0,0.0022
fibrinogen_min,0,0.0022
ddimer_first,0,0.0021
diastolic_bp_max,0,0.0021
fibrinogen_mean,0,0.0021
spo2_lab_max,1,0.0021
albumin_max,0,0.002
heart_rate_first,0,0.002
diastolic_bp_first,0,0.002
fibrinogen_max,0,0.002
temperature_max,1,0.0019
diastolic_bp_mean,0,0.0018
spo2_mean,0,0.0018
ddimer_max,0,0.0015
map_mean,0,0.0015
ddimer_min,0,0.0015
fluid_balance_ml,1,0.0014
wbc_trend,1,0.0014
inr_trend,1,0.0014
bilirubin_trend,1,0.0014
hemoglobin_trend,1,0.0014
resp_rate_trend,1,0.0014
ph_trend,1,0.0014
base_excess_trend,1,0.0014
n_cultures_24h,1,0.0014
temperature_trend,1,0.0014
sodium_trend,1,0.0014
fluid_input_total_ml,1,0.0014
urine_output_per_hour,1,0.0014
platelets_trend,1,0.0014
potassium_trend,1,0.0014
heart_rate_trend,1,0.0014
creatinine_trend,1,0.0014
n_positive_cultures,1,0.0014
resp_rate_max,1,0.0014
lactate_trend,1,0.0014
age_years,1,0.0014
shock_index,1,0.0014
albumin_mean,0,0.0014
albumin_first,0,0.0014
spo2_min,1,0.0013
ddimer_mean,0,0.0013
spo2_min,0,0.0013
temperature_first,0,0.0012
resp_rate_min,0,0.0012
spo2_max,0,0.0011
heart_rate_min,0,0.001
map_min,0,0.0009
spo2_max,1,0.0008
temperature_min,0,0.0006
heart_rate_max,0,0.0005
fluid_input_total_ml,0,0.0005
urine_output_per_hour,0,0.0005
fluid_balance_ml,0,0.0005
n_cultures_24h,0,0.0005
urine_output_total_ml,0,0.0005
n_positive_cultures,0,0.0005
spo2_first,0,0.0005
creatinine_trend,0,0.0005
temperature_trend,0,0.0005
glucose_trend,0,0.0005
bilirubin_trend,0,0.0005
inr_trend,0,0.0005
lactate_trend,0,0.0005
wbc_trend,0,0.0005
hemoglobin_trend,0,0.0005
shock_index,0,0.0005
ph_trend,0,0.0005
resp_rate_max,0,0.0005
map_max,0,0.0005
base_excess_trend,0,0.0005
temperature_max,0,0.0005
potassium_trend,0,0.0005
heart_rate_trend,0,0.0005
platelets_trend,0,0.0005
age_years,0,0.0005
