feature,real_diff,synth_diff,ratio,sign_preserved,real_sep0,real_sep1,synth_sep0,synth_sep1
ck_max,482.0169,407.3187,0.845,True,304.7096,786.7265,279.5865,686.9052
ck_first,479.3599,322.3011,0.6724,True,298.5895,777.9493,260.3672,582.6683
ck_mean,449.4702,305.5809,0.6799,True,296.1352,745.6054,257.6677,563.2486
ldh_max,437.8828,427.0731,0.9753,True,427.9016,865.7844,424.1612,851.2343
ldh_first,434.0734,415.2774,0.9567,True,418.6618,852.7352,413.289,828.5665
ldh_mean,420.3054,401.9275,0.9563,True,413.5196,833.825,408.4304,810.3578
ck_min,417.8374,272.2025,0.6515,True,285.7096,703.547,233.7334,505.9359
ldh_min,401.1358,376.3159,0.9381,True,401.5617,802.6975,394.7859,771.1018
ast_max,257.5375,244.4242,0.9491,True,60.1528,317.6903,58.3071,302.7312
ast_first,248.1264,229.9836,0.9269,True,59.5508,307.6773,57.1834,287.167
ast_mean,246.7666,224.2532,0.9088,True,59.5595,306.3261,57.1525,281.4057
ast_min,235.9339,206.7084,0.8761,True,58.9663,294.9001,56.0653,262.7737
alt_max,138.1961,129.544,0.9374,True,35.1006,173.2967,34.2864,163.8305
alt_first,119.6065,113.9826,0.953,True,34.379,153.9855,32.9509,146.9335
alt_mean,117.2031,110.0256,0.9388,True,34.0308,151.2339,32.827,142.8526
platelets_min,-107.1412,-107.34,1.0019,True,283.9777,176.8365,283.1734,175.8333
platelets_mean,-102.9186,-105.1326,1.0215,True,306.7975,203.8789,305.9518,200.8193
platelets_first,-99.5547,-99.5795,1.0002,True,306.3029,206.7482,305.3294,205.7499
platelets_max,-98.869,-103.1837,1.0436,True,329.0919,230.2229,328.3711,225.1873
alt_min,98.0597,88.9089,0.9067,True,32.6117,130.6715,30.8681,119.777
fluid_balance_ml,89.0771,86.1612,0.9673,True,113.1307,202.2078,111.0381,197.1993
fluid_input_total_ml,88.6604,85.7232,0.9669,True,118.4953,207.1557,116.4612,202.1843
uric_acid_max,78.6925,77.9625,0.9907,True,267.4207,346.1132,267.1624,345.1248
uric_acid_first,78.0672,76.4258,0.979,True,266.5756,344.6428,266.019,342.4448
uric_acid_mean,77.9303,76.3496,0.9797,True,266.5388,344.4691,265.9991,342.3487
uric_acid_min,77.0535,74.7231,0.9698,True,265.8686,342.9221,265.0206,339.7437
glucose_max,56.7468,54.7052,0.964,True,159.4827,216.2295,161.1544,215.8596
glucose_first,28.6399,27.9192,0.9748,True,126.6233,155.2632,126.7765,154.6957
pao2_max,27.5599,27.495,0.9976,True,151.7574,179.3174,152.4961,179.9911
glucose_mean,24.7222,23.1299,0.9356,True,130.106,154.8282,130.9765,154.1064
crp_max,17.0099,16.9885,0.9987,True,21.8414,38.8512,21.7433,38.7318
crp_mean,14.8888,15.038,1.01,True,18.9883,33.8771,18.8928,33.9308
crp_first,13.8394,14.0655,1.0163,True,16.7873,30.6267,16.6779,30.7434
pao2_min,-13.5489,-13.103,0.9671,True,93.865,80.3161,94.1276,81.0246
crp_min,13.0978,13.4338,1.0257,True,15.8837,28.9815,15.7545,29.1883
ptt_max,11.7287,10.7839,0.9194,True,34.6818,46.4106,34.6597,45.4437
ptt_first,9.2989,8.9604,0.9636,True,34.1478,43.4467,34.0464,43.0069
glucose_trend,-8.9529,-14.6772,1.6394,True,-4.8016,-13.7545,-5.1869,-19.864
ptt_mean,8.7411,8.1088,0.9277,True,33.4506,42.1917,33.4169,41.5257
platelets_trend,-8.595,-9.2759,1.0792,True,1.8352,-6.7598,1.5235,-7.7525
pco2_max,6.3063,5.8434,0.9266,True,42.3817,48.688,42.4131,48.2565
pao2_mean,6.1513,6.0751,0.9876,True,122.8932,129.0445,123.3901,129.4652
ptt_min,6.1501,5.7917,0.9417,True,32.2341,38.3842,32.1417,37.9335
pao2_first,-6.0567,-4.6523,0.7681,True,123.4898,117.4331,123.7351,119.0828
spo2_lab_min,-5.7532,-5.6576,0.9834,True,92.334,86.5808,92.2997,86.6421
pt_max,5.0821,5.0253,0.9888,True,12.8991,17.9812,12.8595,17.8849
hematocrit_min,-4.7595,-4.8361,1.0161,True,31.3757,26.6162,31.4068,26.5707
pt_first,4.5473,4.4544,0.9796,True,12.7654,17.3127,12.7114,17.1657
pt_mean,4.027,3.9186,0.9731,True,12.7149,16.7419,12.6731,16.5916
anion_gap_max,3.7108,3.5803,0.9648,True,9.1566,12.8674,9.2914,12.8717
base_excess_min,-3.6648,-3.6537,0.997,True,-4.2317,-7.8965,-4.1953,-7.849
lactate_max,3.5602,3.524,0.9898,True,2.2233,5.7835,2.2343,5.7584
pt_min,3.1113,2.9519,0.9488,True,12.5461,15.6575,12.4991,15.451
hematocrit_mean,-2.8834,-2.9919,1.0376,True,34.5118,31.6284,34.5474,31.5555
hematocrit_first,-2.817,-2.94,1.0437,True,34.8866,32.0696,34.916,31.976
bicarbonate_min,-2.8077,-2.8514,1.0156,True,20.0747,17.267,20.0482,17.1968
pco2_min,-2.5767,-2.6004,1.0092,True,33.7493,31.1726,33.7246,31.1242
spo2_lab_first,-2.4765,-2.3767,0.9597,True,95.0112,92.5347,95.0028,92.6261
base_excess_first,-2.4517,-2.4789,1.0111,True,-3.0921,-5.5438,-3.0588,-5.5377
lactate_first,2.4209,2.4282,1.003,True,1.7876,4.2085,1.7931,4.2213
anion_gap_first,2.259,2.068,0.9155,True,7.4928,9.7518,7.6043,9.6723
ddimer_max,2.2457,2.2331,0.9944,True,1.5161,3.7619,1.5082,3.7414
sodium_max,2.233,2.2445,1.0051,True,139.0767,141.3097,139.1191,141.3636
ddimer_mean,2.1624,2.1291,0.9846,True,1.4678,3.6302,1.4576,3.5867
