feature,real_diff,synth_diff,ratio,sign_preserved,real_sep0,real_sep1,synth_sep0,synth_sep1
ck_max,482.0169,470.5357,0.9762,True,304.7096,786.7265,303.7437,774.2794
ck_first,479.3599,371.7327,0.7755,True,298.5895,777.9493,254.1201,625.8528
ck_mean,449.4702,338.8608,0.7539,True,296.1352,745.6054,250.9161,589.7769
ldh_max,437.8828,481.3005,1.0992,True,427.9016,865.7844,454.6537,935.9542
ldh_first,434.0734,397.6106,0.916,True,418.6618,852.7352,406.4499,804.0604
ldh_mean,420.3054,387.0585,0.9209,True,413.5196,833.825,404.0229,791.0814
ck_min,417.8374,208.9856,0.5002,True,285.7096,703.547,209.5761,418.5617
ldh_min,401.1358,322.0885,0.8029,True,401.5617,802.6975,364.2934,686.3819
ast_max,257.5375,293.7215,1.1405,True,60.1528,317.6903,63.4536,357.175
ast_first,248.1264,209.7937,0.8455,True,59.5508,307.6773,56.8943,266.688
ast_mean,246.7666,214.3589,0.8687,True,59.5595,306.3261,56.7494,271.1083
ast_min,235.9339,157.4111,0.6672,True,58.9663,294.9001,50.9188,208.3299
alt_max,138.1961,143.9726,1.0418,True,35.1006,173.2967,38.8718,182.8444
alt_first,119.6065,98.7499,0.8256,True,34.379,153.9855,32.2739,131.0238
alt_mean,117.2031,102.6774,0.8761,True,34.0308,151.2339,32.3375,135.0149
platelets_min,-107.1412,-109.893,1.0257,True,283.9777,176.8365,278.8082,168.9152
platelets_mean,-102.9186,-93.3833,0.9074,True,306.7975,203.8789,305.1069,211.7236
platelets_first,-99.5547,-101.3706,1.0182,True,306.3029,206.7482,298.9377,197.5671
platelets_max,-98.869,-82.7178,0.8366,True,329.0919,230.2229,333.4053,250.6875
alt_min,98.0597,74.4804,0.7595,True,32.6117,130.6715,26.2827,100.7631
fluid_balance_ml,89.0771,87.9726,0.9876,True,113.1307,202.2078,110.6894,198.662
fluid_input_total_ml,88.6604,82.3854,0.9292,True,118.4953,207.1557,122.4271,204.8125
uric_acid_max,78.6925,83.7937,1.0648,True,267.4207,346.1132,279.2772,363.0709
uric_acid_first,78.0672,75.2319,0.9637,True,266.5756,344.6428,265.6876,340.9195
uric_acid_mean,77.9303,76.6109,0.9831,True,266.5388,344.4691,265.0648,341.6757
uric_acid_min,77.0535,68.8919,0.8941,True,265.8686,342.9221,252.9058,321.7977
glucose_max,56.7468,56.0649,0.988,True,159.4827,216.2295,159.13,215.1948
glucose_first,28.6399,37.2459,1.3005,True,126.6233,155.2632,119.0718,156.3177
pao2_max,27.5599,25.4015,0.9217,True,151.7574,179.3174,153.4847,178.8863
glucose_mean,24.7222,24.3368,0.9844,True,130.106,154.8282,130.0447,154.3815
crp_max,17.0099,17.2058,1.0115,True,21.8414,38.8512,23.0451,40.2509
crp_mean,14.8888,13.8759,0.932,True,18.9883,33.8771,18.51,32.3858
crp_first,13.8394,13.5918,0.9821,True,16.7873,30.6267,17.0161,30.6079
pao2_min,-13.5489,-11.8578,0.8752,True,93.865,80.3161,91.9028,80.045
crp_min,13.0978,12.496,0.9541,True,15.8837,28.9815,14.4527,26.9487
ptt_max,11.7287,11.5531,0.985,True,34.6818,46.4106,35.3116,46.8647
ptt_first,9.2989,9.3901,1.0098,True,34.1478,43.4467,33.5024,42.8925
glucose_trend,-8.9529,-9.7436,1.0883,True,-4.8016,-13.7545,-5.1869,-14.9304
ptt_mean,8.7411,8.3528,0.9556,True,33.4506,42.1917,33.2252,41.578
platelets_trend,-8.595,-7.0236,0.8172,True,1.8352,-6.7598,1.6205,-5.4032
pco2_max,6.3063,6.082,0.9644,True,42.3817,48.688,42.4791,48.5611
pao2_mean,6.1513,4.6273,0.7522,True,122.8932,129.0445,123.4612,128.0886
ptt_min,6.1501,6.1243,0.9958,True,32.2341,38.3842,31.4899,37.6141
pao2_first,-6.0567,-6.1823,1.0207,True,123.4898,117.4331,125.3946,119.2123
spo2_lab_min,-5.7532,-4.9371,0.8581,True,92.334,86.5808,91.3566,86.4195
pt_max,5.0821,5.1581,1.015,True,12.8991,17.9812,12.944,18.1021
hematocrit_min,-4.7595,-4.7567,0.9994,True,31.3757,26.6162,31.3007,26.5439
pt_first,4.5473,3.9985,0.8793,True,12.7654,17.3127,12.6406,16.6391
pt_mean,4.027,3.8138,0.947,True,12.7149,16.7419,12.6527,16.4664
anion_gap_max,3.7108,3.4096,0.9188,True,9.1566,12.8674,9.4013,12.8109
base_excess_min,-3.6648,-3.6311,0.9908,True,-4.2317,-7.8965,-4.4143,-8.0454
lactate_max,3.5602,3.6215,1.0172,True,2.2233,5.7835,2.1376,5.7591
pt_min,3.1113,2.9272,0.9408,True,12.5461,15.6575,12.4146,15.3418
hematocrit_mean,-2.8834,-3.4847,1.2086,True,34.5118,31.6284,35.0437,31.5589
hematocrit_first,-2.817,-3.287,1.1668,True,34.8866,32.0696,34.7849,31.498
bicarbonate_min,-2.8077,-2.8902,1.0294,True,20.0747,17.267,20.0599,17.1697
pco2_min,-2.5767,-2.467,0.9574,True,33.7493,31.1726,33.5636,31.0966
spo2_lab_first,-2.4765,-1.9922,0.8045,True,95.0112,92.5347,95.6323,93.6401
base_excess_first,-2.4517,-2.1475,0.8759,True,-3.0921,-5.5438,-2.823,-4.9705
