column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
age_years,float64,9957,0,0.0,3009,0.0,17.873,2.5152,0.706,3.6522,7.5,"{0.0: 745, 0.003: 265, 0.005: 189, 0.008: 122, 0.011: 97}",
age_months,float64,9957,0,0.0,1546,0.0,214.5,30.1823,8.5,43.8273,10.1,"{0.0: 1010, 0.1: 408, 0.2: 212, 0.3: 133, 1.1: 110}",
gender,object,9957,0,0.0,2,,,,,,,"{'M': 5698, 'F': 4259}",
los_hours,float64,9957,0,0.0,7225,6.06,10657.07,228.6305,70.01,422.1757,0.0,"{21.49: 11, 19.06: 10, 20.85: 10, 22.6: 10, 22.41: 10}",
expire_flag,int64,9957,0,0.0,2,0.0,1.0,0.0739,0.0,0.2617,92.6,"{0: 9221, 1: 736}",possible_label_leakage
hosp_expire,int64,9957,0,0.0,2,0.0,1.0,0.0732,0.0,0.2605,92.7,"{0: 9228, 1: 729}",possible_label_leakage
care_unit,object,9957,0,0.0,5,,,,,,,"{'NICU': 2447, 'General ICU': 2105, 'SICU': 1950, 'CICU': 1926, 'PICU': 1529}",
diagnosis,object,9957,53,0.53,917,,,,,,,"{'早产儿': 727, '肺炎': 580, '室间隔缺损': 530, '先天性心脏病': 432, '房间隔缺损': 319, '心脏病': 225, '特指肾盂积水': 220, '惊厥': 175, '新生儿窒息': 140, '颅内占位性病变': 136}",possible_free_text
icd10,object,9957,54,0.54,916,,,,,,,"{'P07.302': 727, 'J69.101': 580, 'Q21.000': 530, 'Q24.900': 432, 'Q21.100': 319, 'I51.904': 225, 'N13.300': 220, 'R56.803': 175, 'P21.901': 140, 'R90.000': 136}",possible_free_text
ethnicity,object,9957,0,0.0,7,,,,,,,"{'Han ethnic': 9839, 'Others': 44, 'Miao ethnic': 33, 'Buyei ethnic': 16, 'Tujia ethnic': 12, 'Yi ethnic': 9, 'Hui ethnic': 4}",
