column,dtype,n_total,n_missing,missing_pct,n_unique,min,max,mean,median,std,pct_zero,top_values,flags
age_years,float64,2530,0,0.0,1380,0.0,17.451,2.9746,1.095,3.9128,3.6,"{0.0: 90, 0.003: 49, 0.005: 28, 0.011: 23, 0.008: 22}",
age_months,float64,2530,0,0.0,923,0.0,209.4,35.6947,13.1,46.9531,5.5,"{0.0: 139, 0.1: 73, 0.2: 39, 0.3: 27, 1.7: 27}",
gender,object,2530,0,0.0,2,,,,,,,"{'M': 1500, 'F': 1030}",
los_hours,float64,2530,0,0.0,2219,6.06,4992.2,199.2833,59.595,377.6255,0.0,"{19.27: 5, 16.57: 4, 20.18: 4, 20.75: 4, 22.07: 4}",
expire_flag,int64,2530,0,0.0,2,0.0,1.0,0.0858,0.0,0.2801,91.4,"{0: 2313, 1: 217}",possible_label_leakage
hosp_expire,int64,2530,0,0.0,2,0.0,1.0,0.085,0.0,0.2789,91.5,"{0: 2315, 1: 215}",possible_label_leakage
care_unit,object,2530,0,0.0,5,,,,,,,"{'General ICU': 1251, 'SICU': 501, 'NICU': 421, 'PICU': 213, 'CICU': 144}",
diagnosis,object,2530,2,0.08,488,,,,,,,"{'特指肾盂积水': 203, '肺炎': 194, '早产儿': 113, '白血病': 70, '败血症': 57, '颅内占位性病变': 53, '先天性心脏病': 51, '溺水': 49, '惊厥': 46, '喘憋性肺炎': 43}",possible_free_text
icd10,object,2530,3,0.12,487,,,,,,,"{'N13.300': 203, 'J69.101': 194, 'P07.302': 113, 'M98000/3': 70, 'T80.202': 57, 'R90.000': 53, 'Q24.900': 51, 'T75.101': 49, 'R56.803': 46, 'J18.901': 43}",possible_free_text
ethnicity,object,2530,0,0.0,7,,,,,,,"{'Han ethnic': 2488, 'Others': 14, 'Miao ethnic': 11, 'Buyei ethnic': 6, 'Yi ethnic': 5, 'Tujia ethnic': 4, 'Hui ethnic': 2}",
lactate_max,float64,2530,0,0.0,142,0.3,30.0,3.1957,2.2,3.3633,0.0,"{2.2: 144, 1.3: 112, 1.6: 100, 1.9: 95, 1.1: 94}",
lactate_min,float64,2530,0,0.0,99,0.0,23.0,1.5291,1.1,1.6415,0.0,"{0.7: 243, 0.8: 238, 0.9: 213, 1.1: 197, 0.6: 195}",
lactate_mean,float64,2530,0,0.0,557,0.3,23.6667,2.2722,1.65,2.284,0.0,"{1.65: 88, 1.2: 69, 1.0: 60, 1.1: 57, 1.5: 57}",
lactate_first,float64,2530,0,0.0,137,0.1,27.0,2.4488,1.7,2.6012,0.0,"{1.7: 150, 1.0: 126, 1.3: 122, 1.1: 120, 1.4: 106}",
lactate_count,int64,2530,0,0.0,17,0.0,16.0,3.2182,3.0,1.9865,2.8,"{3: 604, 2: 555, 1: 392, 4: 388, 5: 210}",
platelets_max,float64,2530,0,0.0,628,0.0,1332.0,302.0885,291.0,159.0898,0.0,"{291.0: 111, 308.0: 12, 237.0: 12, 294.0: 12, 346.0: 12}",
platelets_min,float64,2530,0,0.0,578,0.0,1024.0,254.715,254.0,150.9713,0.3,"{254.0: 111, 225.0: 14, 192.0: 14, 5.0: 14, 207.0: 14}",
platelets_mean,float64,2530,0,0.0,1074,0.0,1081.5,278.6881,270.5,150.1589,0.0,"{270.5: 109, 236.0: 9, 279.0: 9, 231.0: 9, 316.0: 9}",
platelets_first,float64,2530,0,0.0,605,0.0,1331.0,279.1123,273.0,159.1571,0.2,"{273.0: 114, 281.0: 12, 192.0: 12, 286.0: 12, 5.0: 11}",
platelets_count,int64,2530,0,0.0,7,0.0,6.0,1.7059,2.0,0.6886,4.1,"{2: 1527, 1: 731, 3: 149, 0: 104, 4: 14}",
inr_max,float64,2530,0,0.0,202,0.71,17.38,1.1962,1.06,0.6532,0.0,"{1.06: 693, 1.08: 77, 0.97: 72, 1.02: 72, 1.03: 71}",
inr_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
inr_min,float64,2530,0,0.0,163,0.68,8.49,1.1162,1.04,0.3762,0.0,"{1.04: 704, 1.02: 84, 1.03: 82, 0.97: 78, 0.98: 78}",
inr_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
inr_mean,float64,2530,0,0.0,304,0.71,9.645,1.1552,1.055,0.4654,0.0,"{1.055: 656, 1.02: 70, 0.98: 68, 0.97: 65, 1.0: 62}",
inr_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
inr_first,float64,2530,0,0.0,189,0.68,17.38,1.174,1.05,0.6175,0.0,"{1.05: 696, 1.03: 75, 1.02: 74, 1.08: 74, 0.97: 74}",
inr_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7455,1.0,0.4357,25.5,"{1: 1886, 0: 644}",
inr_count,int64,2530,0,0.0,6,0.0,5.0,1.0123,1.0,0.7881,25.5,"{1: 1313, 0: 644, 2: 490, 3: 69, 4: 9}",
ddimer_max,float64,2530,0,0.0,451,0.02,36.0,2.1295,1.55,2.8805,0.0,"{1.55: 1678, 1.82: 10, 0.21: 9, 0.29: 8, 0.82: 8}",
ddimer_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3383,0.0,0.4732,66.2,"{0: 1674, 1: 856}",
ddimer_min,float64,2530,0,0.0,439,0.02,36.0,1.9808,1.43,2.7483,0.0,"{1.43: 1676, 0.28: 10, 0.21: 10, 0.36: 8, 0.29: 8}",
ddimer_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3383,0.0,0.4732,66.2,"{0: 1674, 1: 856}",
ddimer_mean,float64,2530,0,0.0,475,0.02,36.0,2.0584,1.495,2.7875,0.0,"{1.495: 1674, 0.21: 9, 0.29: 8, 1.82: 8, 0.82: 8}",
ddimer_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3383,0.0,0.4732,66.2,"{0: 1674, 1: 856}",
ddimer_first,float64,2530,0,0.0,442,0.02,36.0,2.042,1.475,2.8349,0.0,"{1.475: 1674, 0.21: 10, 0.28: 10, 1.82: 9, 0.29: 8}",
ddimer_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3383,0.0,0.4732,66.2,"{0: 1674, 1: 856}",
ddimer_count,int64,2530,0,0.0,4,0.0,3.0,0.3692,0.0,0.545,66.2,"{0: 1674, 1: 781, 2: 72, 3: 3}",
fibrinogen_max,float64,2530,0,0.0,310,0.18,7.25,2.1101,2.02,0.6926,0.0,"{2.02: 1663, 1.89: 15, 2.45: 13, 2.72: 13, 1.95: 12}",
fibrinogen_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3451,0.0,0.4755,65.5,"{0: 1657, 1: 873}",
fibrinogen_min,float64,2530,0,0.0,313,0.18,7.25,2.048,1.96,0.6845,0.0,"{1.96: 1659, 1.89: 14, 2.72: 14, 2.45: 13, 1.95: 12}",
fibrinogen_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3451,0.0,0.4755,65.5,"{0: 1657, 1: 873}",
fibrinogen_mean,float64,2530,0,0.0,349,0.18,7.25,2.0788,1.99,0.6811,0.0,"{1.99: 1663, 1.89: 15, 2.45: 13, 2.72: 13, 1.95: 11}",
fibrinogen_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3451,0.0,0.4755,65.5,"{0: 1657, 1: 873}",
fibrinogen_first,float64,2530,0,0.0,314,0.18,7.25,2.058,1.97,0.6831,0.0,"{1.97: 1666, 1.89: 14, 2.72: 14, 2.45: 13, 1.95: 12}",
fibrinogen_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.3451,0.0,0.4755,65.5,"{0: 1657, 1: 873}",
fibrinogen_count,int64,2530,0,0.0,4,0.0,3.0,0.3771,0.0,0.5497,65.5,"{0: 1657, 1: 796, 2: 73, 3: 4}",
creatinine_max,float64,2530,0,0.0,321,0.1018,22.1267,0.6221,0.4864,0.9942,0.0,"{0.486425: 653, 0.418552036199095: 67, 0.4638009049773755: 60, 0.4298642533936651: 54, 0.3846153846153846: 51}",
creatinine_max_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7419,1.0,0.4377,25.8,"{1: 1877, 0: 653}",
creatinine_min,float64,2530,0,0.0,326,0.0882,16.862,0.5672,0.4638,0.7949,0.0,"{0.463801: 653, 0.4638009049773755: 61, 0.418552036199095: 61, 0.4298642533936651: 57, 0.3959276018099547: 51}",
creatinine_min_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7419,1.0,0.4377,25.8,"{1: 1877, 0: 653}",
creatinine_mean,float64,2530,0,0.0,435,0.1018,18.7651,0.5943,0.4695,0.8792,0.0,"{0.4695: 661, 0.4186: 57, 0.4638: 56, 0.4299: 52, 0.3959: 49}",
creatinine_mean_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7419,1.0,0.4377,25.8,"{1: 1877, 0: 653}",
creatinine_first,float64,2530,0,0.0,336,0.0882,20.6561,0.58,0.4638,0.8742,0.0,"{0.463801: 653, 0.4638009049773755: 62, 0.418552036199095: 61, 0.4298642533936651: 58, 0.3506787330316742: 49}",
creatinine_first_was_measured,int64,2530,0,0.0,2,0.0,1.0,0.7419,1.0,0.4377,25.8,"{1: 1877, 0: 653}",
