feature_1,feature_2,pearson_r
age_months,age_years,1.0
hosp_expire,expire_flag,0.9949
inr_min_was_measured,inr_max_was_measured,1.0
inr_mean_was_measured,inr_max_was_measured,1.0
inr_mean_was_measured,inr_min_was_measured,1.0
inr_first_was_measured,inr_max_was_measured,1.0
inr_first_was_measured,inr_min_was_measured,1.0
inr_first_was_measured,inr_mean_was_measured,1.0
ddimer_min_was_measured,ddimer_max_was_measured,1.0
ddimer_mean,ddimer_max,0.9893
ddimer_mean,ddimer_min,0.9875
ddimer_mean_was_measured,ddimer_max_was_measured,1.0
ddimer_mean_was_measured,ddimer_min_was_measured,1.0
ddimer_first,ddimer_mean,0.9886
ddimer_first_was_measured,ddimer_max_was_measured,1.0
ddimer_first_was_measured,ddimer_min_was_measured,1.0
ddimer_first_was_measured,ddimer_mean_was_measured,1.0
fibrinogen_min_was_measured,fibrinogen_max_was_measured,1.0
fibrinogen_mean,fibrinogen_max,0.9911
fibrinogen_mean,fibrinogen_min,0.9918
fibrinogen_mean_was_measured,fibrinogen_max_was_measured,1.0
fibrinogen_mean_was_measured,fibrinogen_min_was_measured,1.0
fibrinogen_first,fibrinogen_min,0.9951
fibrinogen_first,fibrinogen_mean,0.9917
fibrinogen_first_was_measured,fibrinogen_max_was_measured,1.0
fibrinogen_first_was_measured,fibrinogen_min_was_measured,1.0
fibrinogen_first_was_measured,fibrinogen_mean_was_measured,1.0
creatinine_min_was_measured,creatinine_max_was_measured,1.0
creatinine_mean_was_measured,creatinine_max_was_measured,1.0
creatinine_mean_was_measured,creatinine_min_was_measured,1.0
creatinine_first_was_measured,creatinine_max_was_measured,1.0
creatinine_first_was_measured,creatinine_min_was_measured,1.0
creatinine_first_was_measured,creatinine_mean_was_measured,1.0
bilirubin_min_was_measured,bilirubin_max_was_measured,1.0
bilirubin_mean,bilirubin_max,0.9878
bilirubin_mean,bilirubin_min,0.9859
bilirubin_mean_was_measured,bilirubin_max_was_measured,1.0
bilirubin_mean_was_measured,bilirubin_min_was_measured,1.0
bilirubin_first,bilirubin_mean,0.985
bilirubin_first_was_measured,bilirubin_max_was_measured,1.0
bilirubin_first_was_measured,bilirubin_min_was_measured,1.0
bilirubin_first_was_measured,bilirubin_mean_was_measured,1.0
alt_max_was_measured,creatinine_max_was_measured,0.9918
alt_max_was_measured,creatinine_min_was_measured,0.9918
alt_max_was_measured,creatinine_mean_was_measured,0.9918
alt_max_was_measured,creatinine_first_was_measured,0.9918
alt_min_was_measured,creatinine_max_was_measured,0.9918
alt_min_was_measured,creatinine_min_was_measured,0.9918
alt_min_was_measured,creatinine_mean_was_measured,0.9918
alt_min_was_measured,creatinine_first_was_measured,0.9918
alt_min_was_measured,alt_max_was_measured,1.0
alt_mean_was_measured,creatinine_max_was_measured,0.9918
alt_mean_was_measured,creatinine_min_was_measured,0.9918
alt_mean_was_measured,creatinine_mean_was_measured,0.9918
alt_mean_was_measured,creatinine_first_was_measured,0.9918
alt_mean_was_measured,alt_max_was_measured,1.0
alt_mean_was_measured,alt_min_was_measured,1.0
alt_first_was_measured,creatinine_max_was_measured,0.9918
alt_first_was_measured,creatinine_min_was_measured,0.9918
alt_first_was_measured,creatinine_mean_was_measured,0.9918
alt_first_was_measured,creatinine_first_was_measured,0.9918
alt_first_was_measured,alt_max_was_measured,1.0
alt_first_was_measured,alt_min_was_measured,1.0
alt_first_was_measured,alt_mean_was_measured,1.0
alt_count,creatinine_count,0.9927
ast_min_was_measured,ast_max_was_measured,1.0
ast_mean,ast_max,0.9892
ast_mean,ast_min,0.9857
ast_mean_was_measured,ast_max_was_measured,1.0
ast_mean_was_measured,ast_min_was_measured,1.0
ast_first,ast_mean,0.9847
ast_first_was_measured,ast_max_was_measured,1.0
ast_first_was_measured,ast_min_was_measured,1.0
ast_first_was_measured,ast_mean_was_measured,1.0
alc_count,anc_count,0.999
wbc_count,platelets_count,0.9965
pco2_count,ph_count,0.9997
pao2_count,ph_count,0.9997
pao2_count,pco2_count,0.9998
base_excess_count,lactate_count,0.9935
bicarbonate_mean,base_excess_mean,0.9841
bicarbonate_count,lactate_count,0.9936
bicarbonate_count,base_excess_count,0.9994
anion_gap_count,base_excess_count,0.9851
anion_gap_count,bicarbonate_count,0.9849
spo2_lab_count,lactate_count,0.9856
spo2_lab_count,base_excess_count,0.9902
spo2_lab_count,bicarbonate_count,0.9913
hematocrit_count,hemoglobin_count,0.9986
pt_max_was_measured,inr_max_was_measured,1.0
pt_max_was_measured,inr_min_was_measured,1.0
pt_max_was_measured,inr_mean_was_measured,1.0
pt_max_was_measured,inr_first_was_measured,1.0
pt_min,inr_min,0.999
pt_min_was_measured,inr_max_was_measured,1.0
pt_min_was_measured,inr_min_was_measured,1.0
pt_min_was_measured,inr_mean_was_measured,1.0
pt_min_was_measured,inr_first_was_measured,1.0
pt_min_was_measured,pt_max_was_measured,1.0
pt_mean_was_measured,inr_max_was_measured,1.0
pt_mean_was_measured,inr_min_was_measured,1.0
pt_mean_was_measured,inr_mean_was_measured,1.0
pt_mean_was_measured,inr_first_was_measured,1.0
pt_mean_was_measured,pt_max_was_measured,1.0
pt_mean_was_measured,pt_min_was_measured,1.0
pt_first_was_measured,inr_max_was_measured,1.0
pt_first_was_measured,inr_min_was_measured,1.0
pt_first_was_measured,inr_mean_was_measured,1.0
pt_first_was_measured,inr_first_was_measured,1.0
pt_first_was_measured,pt_max_was_measured,1.0
pt_first_was_measured,pt_min_was_measured,1.0
pt_first_was_measured,pt_mean_was_measured,1.0
pt_count,inr_count,0.9999
ptt_max_was_measured,inr_max_was_measured,0.9877
ptt_max_was_measured,inr_min_was_measured,0.9877
ptt_max_was_measured,inr_mean_was_measured,0.9877
ptt_max_was_measured,inr_first_was_measured,0.9877
ptt_max_was_measured,pt_max_was_measured,0.9877
ptt_max_was_measured,pt_min_was_measured,0.9877
ptt_max_was_measured,pt_mean_was_measured,0.9877
ptt_max_was_measured,pt_first_was_measured,0.9877
ptt_min_was_measured,inr_max_was_measured,0.9877
ptt_min_was_measured,inr_min_was_measured,0.9877
ptt_min_was_measured,inr_mean_was_measured,0.9877
ptt_min_was_measured,inr_first_was_measured,0.9877
ptt_min_was_measured,pt_max_was_measured,0.9877
ptt_min_was_measured,pt_min_was_measured,0.9877
ptt_min_was_measured,pt_mean_was_measured,0.9877
ptt_min_was_measured,pt_first_was_measured,0.9877
ptt_min_was_measured,ptt_max_was_measured,1.0
ptt_mean_was_measured,inr_max_was_measured,0.9877
ptt_mean_was_measured,inr_min_was_measured,0.9877
ptt_mean_was_measured,inr_mean_was_measured,0.9877
ptt_mean_was_measured,inr_first_was_measured,0.9877
ptt_mean_was_measured,pt_max_was_measured,0.9877
ptt_mean_was_measured,pt_min_was_measured,0.9877
ptt_mean_was_measured,pt_mean_was_measured,0.9877
ptt_mean_was_measured,pt_first_was_measured,0.9877
ptt_mean_was_measured,ptt_max_was_measured,1.0
ptt_mean_was_measured,ptt_min_was_measured,1.0
ptt_first_was_measured,inr_max_was_measured,0.9877
ptt_first_was_measured,inr_min_was_measured,0.9877
ptt_first_was_measured,inr_mean_was_measured,0.9877
ptt_first_was_measured,inr_first_was_measured,0.9877
ptt_first_was_measured,pt_max_was_measured,0.9877
ptt_first_was_measured,pt_min_was_measured,0.9877
ptt_first_was_measured,pt_mean_was_measured,0.9877
ptt_first_was_measured,pt_first_was_measured,0.9877
ptt_first_was_measured,ptt_max_was_measured,1.0
ptt_first_was_measured,ptt_min_was_measured,1.0
ptt_first_was_measured,ptt_mean_was_measured,1.0
ptt_count,inr_count,0.9813
ptt_count,pt_count,0.9813
sodium_count,lactate_count,0.9939
sodium_count,base_excess_count,0.9994
sodium_count,bicarbonate_count,0.9993
sodium_count,anion_gap_count,0.9851
sodium_count,spo2_lab_count,0.99
potassium_count,lactate_count,0.9936
potassium_count,base_excess_count,0.9989
potassium_count,bicarbonate_count,0.9989
potassium_count,anion_gap_count,0.9845
potassium_count,spo2_lab_count,0.9899
