feature_1,feature_2,pearson_r
age_months,age_years,1.0
hosp_expire,expire_flag,0.995
inr_min_was_measured,inr_max_was_measured,1.0
inr_mean_was_measured,inr_max_was_measured,1.0
inr_mean_was_measured,inr_min_was_measured,1.0
inr_first_was_measured,inr_max_was_measured,1.0
inr_first_was_measured,inr_min_was_measured,1.0
inr_first_was_measured,inr_mean_was_measured,1.0
ddimer_min_was_measured,ddimer_max_was_measured,1.0
ddimer_mean,ddimer_max,0.9911
ddimer_mean,ddimer_min,0.9902
ddimer_mean_was_measured,ddimer_max_was_measured,1.0
ddimer_mean_was_measured,ddimer_min_was_measured,1.0
ddimer_first,ddimer_max,0.9832
ddimer_first,ddimer_mean,0.9904
ddimer_first_was_measured,ddimer_max_was_measured,1.0
ddimer_first_was_measured,ddimer_min_was_measured,1.0
ddimer_first_was_measured,ddimer_mean_was_measured,1.0
fibrinogen_min_was_measured,fibrinogen_max_was_measured,1.0
fibrinogen_mean,fibrinogen_max,0.989
fibrinogen_mean,fibrinogen_min,0.9919
fibrinogen_mean_was_measured,fibrinogen_max_was_measured,1.0
fibrinogen_mean_was_measured,fibrinogen_min_was_measured,1.0
fibrinogen_first,fibrinogen_min,0.9958
fibrinogen_first,fibrinogen_mean,0.9917
fibrinogen_first_was_measured,fibrinogen_max_was_measured,1.0
fibrinogen_first_was_measured,fibrinogen_min_was_measured,1.0
fibrinogen_first_was_measured,fibrinogen_mean_was_measured,1.0
fibrinogen_count,ddimer_count,0.9803
creatinine_min_was_measured,creatinine_max_was_measured,1.0
creatinine_mean,creatinine_max,0.98
creatinine_mean_was_measured,creatinine_max_was_measured,1.0
creatinine_mean_was_measured,creatinine_min_was_measured,1.0
creatinine_first,creatinine_min,0.9815
creatinine_first_was_measured,creatinine_max_was_measured,1.0
creatinine_first_was_measured,creatinine_min_was_measured,1.0
creatinine_first_was_measured,creatinine_mean_was_measured,1.0
bilirubin_min_was_measured,bilirubin_max_was_measured,1.0
bilirubin_mean,bilirubin_max,0.9909
bilirubin_mean,bilirubin_min,0.9874
bilirubin_mean_was_measured,bilirubin_max_was_measured,1.0
bilirubin_mean_was_measured,bilirubin_min_was_measured,1.0
bilirubin_first,bilirubin_min,0.9811
bilirubin_first,bilirubin_mean,0.9906
bilirubin_first_was_measured,bilirubin_max_was_measured,1.0
bilirubin_first_was_measured,bilirubin_min_was_measured,1.0
bilirubin_first_was_measured,bilirubin_mean_was_measured,1.0
alt_max_was_measured,creatinine_max_was_measured,0.9876
alt_max_was_measured,creatinine_min_was_measured,0.9876
alt_max_was_measured,creatinine_mean_was_measured,0.9876
alt_max_was_measured,creatinine_first_was_measured,0.9876
alt_min_was_measured,creatinine_max_was_measured,0.9876
alt_min_was_measured,creatinine_min_was_measured,0.9876
alt_min_was_measured,creatinine_mean_was_measured,0.9876
alt_min_was_measured,creatinine_first_was_measured,0.9876
alt_min_was_measured,alt_max_was_measured,1.0
alt_mean_was_measured,creatinine_max_was_measured,0.9876
alt_mean_was_measured,creatinine_min_was_measured,0.9876
alt_mean_was_measured,creatinine_mean_was_measured,0.9876
alt_mean_was_measured,creatinine_first_was_measured,0.9876
alt_mean_was_measured,alt_max_was_measured,1.0
alt_mean_was_measured,alt_min_was_measured,1.0
alt_first_was_measured,creatinine_max_was_measured,0.9876
alt_first_was_measured,creatinine_min_was_measured,0.9876
alt_first_was_measured,creatinine_mean_was_measured,0.9876
alt_first_was_measured,creatinine_first_was_measured,0.9876
alt_first_was_measured,alt_max_was_measured,1.0
alt_first_was_measured,alt_min_was_measured,1.0
alt_first_was_measured,alt_mean_was_measured,1.0
alt_count,creatinine_count,0.9897
ast_min_was_measured,ast_max_was_measured,1.0
ast_mean,ast_max,0.9918
ast_mean,ast_min,0.9891
ast_mean_was_measured,ast_max_was_measured,1.0
ast_mean_was_measured,ast_min_was_measured,1.0
ast_first,ast_max,0.9886
ast_first,ast_mean,0.9877
ast_first_was_measured,ast_max_was_measured,1.0
ast_first_was_measured,ast_min_was_measured,1.0
ast_first_was_measured,ast_mean_was_measured,1.0
alc_count,anc_count,0.9993
wbc_count,platelets_count,0.9954
pco2_count,ph_count,0.9997
pao2_count,ph_count,0.9995
pao2_count,pco2_count,0.9995
base_excess_count,lactate_count,0.9917
bicarbonate_mean,base_excess_mean,0.9843
bicarbonate_count,lactate_count,0.9918
bicarbonate_count,base_excess_count,0.999
anion_gap_count,base_excess_count,0.9855
anion_gap_count,bicarbonate_count,0.9852
spo2_lab_count,base_excess_count,0.9814
spo2_lab_count,bicarbonate_count,0.9836
hematocrit_count,hemoglobin_count,0.9966
pt_max_was_measured,inr_max_was_measured,1.0
pt_max_was_measured,inr_min_was_measured,1.0
pt_max_was_measured,inr_mean_was_measured,1.0
pt_max_was_measured,inr_first_was_measured,1.0
pt_min,inr_min,0.9997
pt_min_was_measured,inr_max_was_measured,1.0
pt_min_was_measured,inr_min_was_measured,1.0
pt_min_was_measured,inr_mean_was_measured,1.0
pt_min_was_measured,inr_first_was_measured,1.0
pt_min_was_measured,pt_max_was_measured,1.0
pt_mean_was_measured,inr_max_was_measured,1.0
pt_mean_was_measured,inr_min_was_measured,1.0
pt_mean_was_measured,inr_mean_was_measured,1.0
pt_mean_was_measured,inr_first_was_measured,1.0
pt_mean_was_measured,pt_max_was_measured,1.0
pt_mean_was_measured,pt_min_was_measured,1.0
pt_first_was_measured,inr_max_was_measured,1.0
pt_first_was_measured,inr_min_was_measured,1.0
pt_first_was_measured,inr_mean_was_measured,1.0
pt_first_was_measured,inr_first_was_measured,1.0
pt_first_was_measured,pt_max_was_measured,1.0
pt_first_was_measured,pt_min_was_measured,1.0
pt_first_was_measured,pt_mean_was_measured,1.0
pt_count,inr_count,0.999
ptt_min_was_measured,ptt_max_was_measured,1.0
ptt_mean_was_measured,ptt_max_was_measured,1.0
ptt_mean_was_measured,ptt_min_was_measured,1.0
ptt_first_was_measured,ptt_max_was_measured,1.0
ptt_first_was_measured,ptt_min_was_measured,1.0
ptt_first_was_measured,ptt_mean_was_measured,1.0
sodium_count,lactate_count,0.9921
sodium_count,base_excess_count,0.9992
sodium_count,bicarbonate_count,0.9991
sodium_count,anion_gap_count,0.9856
sodium_count,spo2_lab_count,0.9812
potassium_count,lactate_count,0.9916
potassium_count,base_excess_count,0.9985
potassium_count,bicarbonate_count,0.9985
potassium_count,anion_gap_count,0.9846
potassium_count,spo2_lab_count,0.9814
potassium_count,sodium_count,0.9991
albumin_max_was_measured,ast_max_was_measured,0.9967
albumin_max_was_measured,ast_min_was_measured,0.9967
albumin_max_was_measured,ast_mean_was_measured,0.9967
albumin_max_was_measured,ast_first_was_measured,0.9967
albumin_min,albumin_max,0.9803
albumin_min_was_measured,ast_max_was_measured,0.9967
albumin_min_was_measured,ast_min_was_measured,0.9967
albumin_min_was_measured,ast_mean_was_measured,0.9967
albumin_min_was_measured,ast_first_was_measured,0.9967
albumin_min_was_measured,albumin_max_was_measured,1.0
albumin_mean,albumin_max,0.9951
albumin_mean,albumin_min,0.9951
albumin_mean_was_measured,ast_max_was_measured,0.9967
albumin_mean_was_measured,ast_min_was_measured,0.9967
albumin_mean_was_measured,ast_mean_was_measured,0.9967
albumin_mean_was_measured,ast_first_was_measured,0.9967
albumin_mean_was_measured,albumin_max_was_measured,1.0
albumin_mean_was_measured,albumin_min_was_measured,1.0
albumin_first,albumin_max,0.9932
albumin_first,albumin_min,0.987
albumin_first,albumin_mean,0.995
albumin_first_was_measured,ast_max_was_measured,0.9967
albumin_first_was_measured,ast_min_was_measured,0.9967
albumin_first_was_measured,ast_mean_was_measured,0.9967
albumin_first_was_measured,ast_first_was_measured,0.9967
albumin_first_was_measured,albumin_max_was_measured,1.0
albumin_first_was_measured,albumin_min_was_measured,1.0
albumin_first_was_measured,albumin_mean_was_measured,1.0
crp_min_was_measured,crp_max_was_measured,1.0
crp_mean_was_measured,crp_max_was_measured,1.0
crp_mean_was_measured,crp_min_was_measured,1.0
crp_first,crp_min,0.9823
crp_first_was_measured,crp_max_was_measured,1.0
crp_first_was_measured,crp_min_was_measured,1.0
crp_first_was_measured,crp_mean_was_measured,1.0
ldh_min_was_measured,ldh_max_was_measured,1.0
ldh_mean,ldh_max,0.9927
ldh_mean,ldh_min,0.9927
ldh_mean_was_measured,ldh_max_was_measured,1.0
ldh_mean_was_measured,ldh_min_was_measured,1.0
ldh_first,ldh_max,0.9955
ldh_first,ldh_mean,0.9931
ldh_first_was_measured,ldh_max_was_measured,1.0
ldh_first_was_measured,ldh_min_was_measured,1.0
ldh_first_was_measured,ldh_mean_was_measured,1.0
urea_min_was_measured,urea_max_was_measured,1.0
urea_mean,urea_max,0.9963
urea_mean,urea_min,0.9926
urea_mean_was_measured,urea_max_was_measured,1.0
urea_mean_was_measured,urea_min_was_measured,1.0
urea_first,urea_max,0.996
urea_first,urea_min,0.985
urea_first,urea_mean,0.9961
urea_first_was_measured,urea_max_was_measured,1.0
urea_first_was_measured,urea_min_was_measured,1.0
urea_first_was_measured,urea_mean_was_measured,1.0
uric_acid_max_was_measured,ast_max_was_measured,0.9942
uric_acid_max_was_measured,ast_min_was_measured,0.9942
uric_acid_max_was_measured,ast_mean_was_measured,0.9942
uric_acid_max_was_measured,ast_first_was_measured,0.9942
uric_acid_max_was_measured,albumin_max_was_measured,0.9975
uric_acid_max_was_measured,albumin_min_was_measured,0.9975
uric_acid_max_was_measured,albumin_mean_was_measured,0.9975
uric_acid_max_was_measured,albumin_first_was_measured,0.9975
uric_acid_min,uric_acid_max,0.9953
uric_acid_min_was_measured,ast_max_was_measured,0.9942
uric_acid_min_was_measured,ast_min_was_measured,0.9942
uric_acid_min_was_measured,ast_mean_was_measured,0.9942
uric_acid_min_was_measured,ast_first_was_measured,0.9942
uric_acid_min_was_measured,albumin_max_was_measured,0.9975
uric_acid_min_was_measured,albumin_min_was_measured,0.9975
uric_acid_min_was_measured,albumin_mean_was_measured,0.9975
uric_acid_min_was_measured,albumin_first_was_measured,0.9975
uric_acid_min_was_measured,uric_acid_max_was_measured,1.0
uric_acid_mean,uric_acid_max,0.9988
uric_acid_mean,uric_acid_min,0.9988
uric_acid_mean_was_measured,ast_max_was_measured,0.9942
uric_acid_mean_was_measured,ast_min_was_measured,0.9942
uric_acid_mean_was_measured,ast_mean_was_measured,0.9942
uric_acid_mean_was_measured,ast_first_was_measured,0.9942
uric_acid_mean_was_measured,albumin_max_was_measured,0.9975
uric_acid_mean_was_measured,albumin_min_was_measured,0.9975
uric_acid_mean_was_measured,albumin_mean_was_measured,0.9975
