feature,abs_corr_with_label,type
n_vasoactives_24h,0.543920266498416,vaso
vaso_dopamine,0.47361103343571537,vaso
lactate_max,0.47174946920529565,clinical
calcium_count,0.4509191277147546,count
sodium_count,0.4403516496023471,count
base_excess_count,0.43999744379567995,count
potassium_count,0.4399918257407057,count
bicarbonate_count,0.43882661881870866,count
anion_gap_count,0.43528244544398004,count
lactate_count,0.4351499440799018,count
hematocrit_count,0.4225000956990764,count
hemoglobin_count,0.4189664023465979,count
lactate_mean,0.41678083624956597,clinical
lactate_first,0.4147613583675283,clinical
spo2_lab_count,0.41387047307285174,count
glucose_count,0.4114359724610275,count
pao2_count,0.38784045100627623,count
pco2_count,0.3869291867368086,count
ph_count,0.38669365502711195,count
inr_trend_was_measured,0.3825577613012595,clinical
fibrinogen_max_was_measured,0.37799372387724056,clinical
vaso_epinephrine,0.3766259391833103,vaso
pt_count,0.37481876320506036,count
inr_count,0.3743947950482455,count
fibrinogen_count,0.37354881439609405,count
vaso_dobutamine,0.36916292152862057,vaso
ddimer_max_was_measured,0.36411717080761363,clinical
ptt_count,0.36368178085177033,count
ddimer_count,0.36125861962093087,count
pt_mean,0.34903691453315205,clinical
ddimer_max,0.34743636452425075,clinical
ddimer_mean,0.34571274429455967,clinical
ddimer_first,0.33925237043053036,clinical
ddimer_min,0.33781536379554444,clinical
pt_max,0.33586924478542374,clinical
pt_first,0.3234319464390917,clinical
inr_mean,0.3205597176759766,clinical
base_excess_min,0.319658110384301,clinical
platelets_min,0.31626955538172746,clinical
pt_min,0.31127622028925733,clinical
inr_min,0.31037576509849546,clinical
platelets_mean,0.30544853718338105,clinical
bicarbonate_min,0.3016386743549336,clinical
vaso_milrinone,0.2968276150280639,vaso
ph_min,0.29618285953240514,clinical
inr_max,0.2874095452449323,clinical
platelets_first,0.2787602323645669,clinical
lactate_min,0.2771742464508116,clinical
platelets_max,0.2769575029570979,clinical
calcium_min,0.26997700002763286,clinical
inr_first,0.26971961481902906,clinical
glucose_max,0.26916206391191727,clinical
hematocrit_min,0.26846008084332607,clinical
ptt_max,0.2665499980580073,clinical
ptt_mean,0.2608814093271461,clinical
anion_gap_max,0.24552454979258836,clinical
ptt_first,0.23915293230620666,clinical
ast_max_was_measured,0.23295978669018796,clinical
albumin_max_was_measured,0.23295978669018796,clinical
ldh_max_was_measured,0.2324652178565062,clinical
ck_max_was_measured,0.23200876676933088,clinical
uric_acid_max_was_measured,0.23160588986655073,clinical
vaso_norepinephrine,0.22926433441288288,vaso
uric_acid_max,0.22563405328649996,clinical
uric_acid_mean,0.2242057882887007,clinical
uric_acid_first,0.2240964586962522,clinical
base_excess_first,0.22315437440625538,clinical
uric_acid_min,0.2219604599924589,clinical
alt_count,0.22139190484005705,count
creatinine_count,0.21710945173254223,count
crp_max,0.21494233426034662,clinical
ptt_min,0.21322777859867376,clinical
glucose_mean,0.21229604500355712,clinical
inr_max_was_measured,0.2115701536912426,clinical
pt_max_was_measured,0.2115701536912426,clinical
crp_mean,0.21045809666620138,clinical
spo2_lab_min,0.2059220404720786,clinical
pao2_max,0.20547570540953664,clinical
ldh_max,0.2048282991754289,clinical
creatinine_trend_was_measured,0.20420099335081987,clinical
ldh_first,0.20411663818116424,clinical
ldh_mean,0.20094720817259004,clinical
ptt_max_was_measured,0.19892130327136287,clinical
crp_min,0.19779182221078223,clinical
glucose_first,0.19730882649718293,clinical
crp_first,0.1968685504114047,clinical
bicarbonate_first,0.19378410897022533,clinical
ldh_min,0.19325597170036055,clinical
glucose_trend_was_measured,0.18895522572569456,clinical
pco2_max,0.18596703880512108,clinical
ast_count,0.18297079390429713,count
alt_max,0.1821380034465007,clinical
albumin_count,0.18199696507398963,count
potassium_min,0.18172552467829822,clinical
