feature,importance
ddimer_first,0.11431319564785918
hematocrit_mean,0.0921874210936629
lactate_max,0.059827596875024015
pt_min,0.05907644354598872
platelets_min,0.04726917131953557
alc_max,0.03911718198025046
pt_first,0.039005919783593836
ddimer_mean,0.035064973538265036
had_surgery_flag,0.023738658672883363
potassium_min,0.022516835592340752
pao2_max,0.0222668189209111
lactate_mean,0.02002712272151871
bicarbonate_min,0.01931897993911673
resp_rate_mean,0.016836932441607506
bicarbonate_max,0.016768009961191637
care_unit_CICU,0.01624891343013258
lactate_first,0.01473508394818438
albumin_max,0.014216181239144454
bilirubin_mean,0.01393602521245212
ph_min,0.013043347200168344
hematocrit_min,0.013018808396843846
ddimer_min,0.012188469719716748
platelets_first,0.011505956646646238
symptom_fever,0.010960656717475861
fibrinogen_max,0.010072527466602222
platelets_mean,0.009611078824324363
base_excess_max,0.00928717208275838
age_years,0.00891769201818414
heart_rate_trend,0.008628025569341499
hemoglobin_first,0.008465816489703714
anc_mean,0.00829723675650046
glucose_first,0.007598191157785839
alt_mean,0.007573562946669682
anion_gap_mean,0.007323656583463547
symptom_cool_extremities,0.0064147263530264995
hemoglobin_trend,0.006327789573380789
anion_gap_max,0.006081870629466447
ph_max,0.005993248358301042
albumin_mean,0.005873810937613301
glucose_max,0.0055791023110162785
uric_acid_mean,0.005560656911035227
uric_acid_first,0.005534345115893062
lactate_trend,0.005283656019397896
symptom_tenderness,0.004551775600988583
sodium_first,0.0045505778910517125
base_excess_min,0.0045285968549940775
ptt_max,0.004447915356292955
symptom_twitching,0.0039118823528743315
symptom_edema,0.003814941531259206
potassium_mean,0.0038091640967595508
heart_rate_max,0.0036425893432192585
symptom_headache,0.003143043697888795
temperature_min,0.0030481902739686703
sbp_abnormal_for_age,0.0030278413346176676
crp_max,0.002964335279167058
urea_min,0.0028947421395481643
wbc_min,0.0028585274880079605
pao2_min,0.0028238547258908355
n_positive_cultures,0.0025685660847749054
inr_mean,0.002415494509575671
inr_max,0.002337679396949893
spo2_lab_max,0.002302072380783609
spo2_lab_min,0.0022340764406934277
diastolic_bp_mean,0.0022158964007024644
symptom_abdominal_tenderness,0.0021155224383786033
potassium_trend,0.0020291277004400297
symptom_cyanosis,0.0019784651216934444
pao2_mean,0.0018535703039584944
platelets_trend,0.00179772830545344
anc_min,0.0017434993829577759
alc_mean,0.0016022602523166325
albumin_first,0.0015091249411834215
ast_first,0.0015044703485162384
crp_mean,0.0015010853566548071
symptom_anhelation,0.0014474740129211655
lactate_min,0.0013803486275846498
spo2_min,0.0011743867702045463
spo2_mean,0.0011397587819794595
pt_mean,0.0010818606501263267
glucose_mean,0.00105252812739973
urea_mean,0.0010469607173036629
anc_first,0.0009858785755232648
pco2_first,0.0009036084082965088
symptom_phlegm_sound,0.0008983513813761118
anc_max,0.0008698004219884906
base_excess_mean,0.0008321179294004579
temperature_trend,0.0007314190120448713
inr_first,0.0006739420605255583
ck_min,0.0006395739935815094
gender,0.0006383949146911334
ptt_mean,0.0006079057170503928
urea_max,0.0005624939315519282
calcium_mean,0.0005085093285655613
ptt_min,0.0004923061966362344
base_excess_first,0.00047042763313061574
spo2_first,0.00046601265845977826
ck_mean,0.0004515060595910707
care_unit_General ICU,0.0004062498307876643
temperature_mean,0.00039443859043328483
symptom_rale,0.0003607196291096158
spo2_lab_mean,0.0003588251648733397
crp_min,0.0003474777030077727
urea_first,0.0003383800881409734
inr_trend,0.000297977726711611
alc_first,0.00026996577393393484
anion_gap_min,0.0002641976935931211
ast_mean,0.00025270151862819343
ldh_mean,0.00021860141946528856
care_unit_PICU,0.00021518340904987855
base_excess_trend,0.00021404258656874294
had_cardiac_surgery_flag,0.00021165426534805004
systolic_bp_max,0.0002111036555558728
ptt_first,0.00020112118409690963
glucose_min,0.00018228440729451802
symptom_erythra,0.00017714824681291716
crp_first,0.00017709304730200156
diastolic_bp_first,0.00016503925067782896
alt_min,0.0001597716944655857
ph_mean,0.00015917150310190912
n_antibiotics_24h,0.00015596795188661724
systolic_bp_first,0.00014797385775776106
ast_min,0.00013983720264570758
symptom_diarrhea,0.00013598605324312946
calcium_min,0.00013086268153179612
systolic_bp_mean,0.0001232436025085653
pao2_first,0.00012059749086200466
symptom_pharyngeal_red,0.00011671690340717791
ph_first,0.00011548507762961992
creatinine_trend,0.00011359496970563019
ck_first,0.0001049860165527883
systolic_bp_min,0.00010467907576960959
pt_max,0.0001034772231316004
wbc_max,0.00010298504724150498
diastolic_bp_min,9.965192810748999e-05
resp_rate_trend,9.840786302520328e-05
inr_min,9.765810159611004e-05
hemoglobin_max,9.416811421755089e-05
resp_rate_max,9.253513670654587e-05
fibrinogen_min,9.199323497502757e-05
heart_rate_first,8.080908403042902e-05
resp_rate_min,7.960130632665175e-05
albumin_min,7.24162606020237e-05
heart_rate_min,7.199847564013948e-05
symptom_chest_tightness,6.94813621785148e-05
map_max,6.852763608023575e-05
fibrinogen_first,6.702441905832645e-05
pco2_min,6.672821981637921e-05
n_cultures_24h,6.219877515019072e-05
symptom_warm_extremities,6.189402289208828e-05
heart_rate_mean,5.885497480142443e-05
diastolic_bp_max,5.6004192863339605e-05
creatinine_min,5.3825403963281487e-05
glucose_trend,5.275548780302882e-05
wbc_trend,4.479093735600218e-05
uric_acid_min,4.294086663781576e-05
map_min,3.648167103932813e-05
hematocrit_max,3.5977991604430957e-05
ldh_min,3.53757502275757e-05
resp_rate_first,3.1537263303082814e-05
spo2_lab_first,2.9444021030006087e-05
hematocrit_first,2.8871505342833543e-05
alt_max,2.7882255279461576e-05
symptom_abdominal_distension,2.6434430668429387e-05
fluid_balance_ml,2.614800263460902e-05
symptom_vomiting,2.5845488376891178e-05
shock_index,2.4872422025105422e-05
bicarbonate_mean,2.4692205832630623e-05
creatinine_first,2.3196345059305594e-05
urine_output_per_hour,2.286267101190863e-05
symptom_moist_rale,2.2305636442389934e-05
wbc_mean,1.9866336159859124e-05
ast_max,1.862166435941768e-05
ldh_first,1.800287036979207e-05
hr_abnormal_for_age,1.5014327170021068e-05
map_first,1.491592316593437e-05
sodium_mean,1.4304168228535534e-05
alt_first,1.152177976660531e-05
symptom_three_depressions_sign,1.1018711077510701e-05
map_mean,1.1006624680320056e-05
sodium_min,9.133127933743513e-06
hemoglobin_mean,8.857989782596158e-06
ldh_max,8.428862747137823e-06
sodium_trend,8.257729107235066e-06
symptom_hemorrhage,7.847810964046058e-06
alc_min,7.81034359937712e-06
calcium_max,7.804544216857087e-06
symptom_rebound_tenderness,7.800208234232291e-06
anion_gap_first,7.769412340016249e-06
bilirubin_max,7.726817443459646e-06
fluid_input_total_ml,6.450511678725668e-06
bilirubin_min,6.1458803885576606e-06
pco2_mean,5.746290706830178e-06
symptom_arrhythmia,5.024950955771174e-06
ddimer_max,4.982975022683971e-06
care_unit_NICU,4.853659594025761e-06
symptom_cough,4.57680123723556e-06
creatinine_max,4.56328435605425e-06
creatinine_mean,4.485500676632283e-06
rr_abnormal_for_age,3.783977839161811e-06
sodium_max,3.716450414047541e-06
temperature_first,3.5157651341349885e-06
symptom_swelling,3.2838039825437897e-06
symptom_skin_jaundice,3.2048095979255133e-06
potassium_first,2.7252094528146587e-06
fibrinogen_mean,2.7213886158564073e-06
symptom_listless,2.311344417843332e-06
wbc_first,2.2841572525201096e-06
pco2_max,2.197746713255459e-06
spo2_trend,1.2002278774345296e-06
bicarbonate_first,1.0600116199284308e-06
bilirubin_trend,9.017318140179816e-07
uric_acid_max,8.169360843678471e-07
ph_trend,7.662012594841597e-07
calcium_first,5.978394809258196e-07
spo2_max,3.4257534826279404e-07
ck_max,2.3807693781732425e-07
symptom_dry_and_moist_rales,2.3307024412974212e-07
care_unit_SICU,2.0904988600220074e-07
potassium_max,1.919654563326746e-07
temperature_max,1.1230148346902828e-07
urine_output_total_ml,9.630655245598084e-08
hemoglobin_min,6.00771772033085e-08
bilirubin_first,5.45615202571081e-08
symptom_dysphoria,4.6410862923042256e-08
platelets_max,0.0
