iter	Passed	Remaining
0	9	4613
1	16	4204
2	22	3841
3	30	3810
4	36	3716
5	43	3654
6	50	3657
7	56	3572
8	62	3504
9	70	3508
10	76	3470
11	82	3433
12	88	3393
13	94	3354
14	101	3334
15	107	3329
16	114	3320
17	121	3330
18	128	3312
19	134	3304
20	141	3295
21	148	3292
22	155	3295
23	161	3269
24	167	3244
25	173	3224
26	179	3202
27	185	3197
28	191	3182
29	197	3165
30	205	3169
31	211	3159
32	217	3149
33	224	3140
34	230	3133
35	236	3115
36	242	3104
37	248	3088
38	254	3076
39	260	3064
40	266	3051
41	273	3046
42	279	3032
43	285	3021
44	291	3012
45	297	2999
46	303	2991
47	309	2982
48	315	2968
49	321	2962
50	327	2950
51	334	2947
52	341	2943
53	347	2931
54	353	2922
55	359	2911
56	365	2901
57	371	2893
58	377	2882
59	382	2871
60	389	2866
61	395	2855
62	401	2847
63	407	2838
64	413	2831
65	420	2829
66	427	2824
67	434	2823
68	441	2820
69	448	2817
70	454	2811
71	460	2802
72	467	2796
73	472	2786
74	479	2778
75	484	2768
76	490	2758
77	496	2750
78	502	2741
79	508	2732
80	514	2724
81	520	2715
82	526	2706
83	531	2697
84	539	2696
85	545	2690
86	551	2681
87	557	2672
88	563	2664
89	569	2656
90	575	2651
91	582	2647
92	588	2638
93	594	2630
94	599	2620
95	605	2612
96	611	2604
97	618	2598
98	623	2590
99	629	2582
100	635	2574
101	641	2567
102	647	2559
103	654	2553
104	659	2545
105	666	2540
106	673	2536
107	679	2528
108	685	2520
109	690	2512
110	696	2504
111	718	2554
112	724	2546
113	732	2545
114	739	2541
115	746	2535
116	752	2528
117	759	2522
118	767	2521
119	774	2517
120	780	2510
121	786	2502
122	792	2494
123	798	2487
124	805	2482
125	811	2474
126	817	2465
127	823	2458
128	829	2450
129	835	2442
130	841	2434
131	847	2426
132	853	2418
133	859	2411
134	866	2405
135	872	2399
136	878	2392
137	885	2386
138	891	2380
139	898	2375
140	906	2371
141	912	2364
142	918	2357
143	924	2350
144	930	2341
145	937	2336
146	944	2332
147	951	2326
148	957	2320
149	964	2314
150	970	2307
151	976	2299
152	982	2292
153	987	2283
154	993	2276
155	1000	2269
156	1006	2262
157	1013	2256
158	1019	2250
159	1025	2242
160	1030	2234
161	1036	2227
162	1042	2219
163	1048	2212
164	1054	2204
165	1060	2197
166	1066	2190
167	1072	2182
168	1078	2175
169	1084	2168
170	1090	2161
171	1095	2153
172	1101	2146
173	1108	2139
174	1113	2132
175	1119	2125
176	1126	2119
177	1132	2112
178	1138	2105
179	1144	2098
180	1150	2091
181	1156	2084
182	1162	2077
183	1168	2070
184	1174	2063
185	1180	2056
186	1186	2048
187	1191	2041
188	1197	2034
189	1204	2027
190	1210	2021
191	1216	2014
192	1222	2007
193	1228	2000
194	1234	1993
195	1240	1987
