iter	Logloss
0	0.6322400142
1	0.5815626662
2	0.535804044
3	0.4933393666
4	0.4643253327
5	0.4353796236
6	0.4106795481
7	0.3834658519
8	0.3583452287
9	0.3361925493
10	0.3211261041
11	0.3063169136
12	0.2909741365
13	0.2780868201
14	0.2679553187
15	0.2565636029
16	0.2448205214
17	0.2363877054
18	0.228591066
19	0.2209117007
20	0.2126534075
21	0.2065316706
22	0.2003065557
23	0.1942440396
24	0.1890519294
25	0.1843765136
26	0.1799204409
27	0.175601989
28	0.1716144411
29	0.1678811063
30	0.1643500802
31	0.160300627
32	0.1573593889
33	0.1543714782
34	0.1514914777
35	0.1484297703
36	0.1459482093
37	0.1428950644
38	0.1395067749
39	0.1371279852
40	0.1349798187
41	0.1332089296
42	0.1308924262
43	0.1291447527
44	0.1275511352
45	0.1261461341
46	0.1245173614
47	0.12313422
48	0.1213698795
49	0.1193214338
50	0.1176360718
51	0.1159838632
52	0.1148497357
53	0.1136730681
54	0.112309251
55	0.1110578203
56	0.1101523944
57	0.1092478928
58	0.1077481457
59	0.106637962
