iter	Passed	Remaining
0	162	82748
1	185	47018
2	205	34680
3	224	28428
4	244	24682
5	262	22049
6	280	20151
7	298	18713
8	316	17607
9	334	16737
10	352	16010
11	371	15398
12	389	14899
13	409	14519
14	427	14117
15	446	13774
16	464	13475
17	482	13191
18	500	12933
19	518	12706
20	543	12655
21	569	12632
22	589	12474
23	607	12310
24	626	12153
25	644	12006
26	663	11862
27	681	11730
28	698	11590
29	716	11464
30	734	11345
31	751	11230
32	769	11127
33	788	11034
34	806	10938
35	824	10854
36	843	10777
37	861	10700
38	878	10613
39	896	10531
40	914	10458
41	932	10389
42	950	10322
43	968	10254
44	986	10196
45	1003	10126
46	1021	10063
47	1040	10014
48	1058	9960
49	1076	9907
50	1095	9855
51	1113	9806
52	1131	9756
53	1150	9715
54	1168	9666
55	1186	9617
56	1204	9572
57	1223	9531
58	1240	9485
59	1258	9441
