feature,importance
ddimer_max,21.19140398196987
attn_inr_max,18.81031671034978
attn_lactate_max,6.637338258622489
attn_ddimer_max,5.64261735565462
attn_care_unit_General ICU,4.369336305200747
attn_symptom_diarrhea,4.019056997197764
attn_heart_rate_mean,3.989331343769304
attn_inr_first,3.8459607906962865
attn_spo2_lab_max,3.109896504385475
attn_anc_mean,3.036292000843032
lactate_max,2.625374386937987
attn_inr_mean,2.3604245525184284
ddimer_min,2.213827178055857
ddimer_mean,2.145741837536911
attn_pao2_mean,2.129597957340118
attn_bicarbonate_first,1.9095585555847558
attn_ph_max,1.853142773113819
attn_albumin_first,1.8525624576990243
attn_had_surgery_flag,1.3071332450934672
attn_ast_first,0.9679115284880839
care_unit_SICU,0.8940706704963477
attn_n_positive_cultures,0.8782989747440745
attn_urea_first,0.8156514211770242
attn_ptt_max,0.7516935506878475
attn_lactate_trend,0.7135103992073669
attn_sodium_first,0.6723927470972144
care_unit_CICU,0.6480492557435922
attn_symptom_edema,0.6095082597886969
attn_spo2_lab_mean,0.0
attn_spo2_lab_min,0.0
attn_pao2_min,0.0
attn_anion_gap_first,0.0
attn_anion_gap_mean,0.0
attn_anion_gap_min,0.0
attn_bicarbonate_mean,0.0
attn_anion_gap_max,0.0
attn_base_excess_max,0.0
attn_pao2_first,0.0
attn_bicarbonate_min,0.0
attn_bicarbonate_max,0.0
attn_base_excess_first,0.0
attn_base_excess_mean,0.0
attn_spo2_lab_first,0.0
attn_base_excess_min,0.0
attn_pt_max,0.0
attn_hemoglobin_max,0.0
attn_hemoglobin_min,0.0
attn_calcium_max,0.0
attn_potassium_first,0.0
attn_potassium_mean,0.0
attn_potassium_min,0.0
attn_potassium_max,0.0
attn_sodium_mean,0.0
attn_sodium_min,0.0
attn_sodium_max,0.0
attn_ptt_first,0.0
attn_ptt_mean,0.0
attn_ptt_min,0.0
attn_pt_first,0.0
attn_pt_mean,0.0
attn_pt_min,0.0
attn_pco2_first,0.0
attn_hematocrit_first,0.0
attn_hematocrit_mean,0.0
attn_hematocrit_min,0.0
attn_hematocrit_max,0.0
attn_hemoglobin_first,0.0
attn_hemoglobin_mean,0.0
attn_pao2_max,0.0
attn_wbc_mean,0.0
attn_pco2_mean,0.0
attn_fibrinogen_mean,0.0
attn_alt_max,0.0
attn_bilirubin_first,0.0
attn_bilirubin_mean,0.0
attn_bilirubin_min,0.0
attn_bilirubin_max,0.0
attn_creatinine_first,0.0
attn_creatinine_mean,0.0
attn_creatinine_min,0.0
attn_creatinine_max,0.0
attn_fibrinogen_first,0.0
attn_fibrinogen_min,0.0
attn_pco2_min,0.0
attn_fibrinogen_max,0.0
attn_ddimer_first,0.0
attn_ddimer_mean,0.0
attn_ddimer_min,0.0
attn_inr_min,0.0
attn_platelets_first,0.0
attn_platelets_mean,0.0
attn_platelets_min,0.0
attn_platelets_max,0.0
attn_lactate_first,0.0
attn_alt_min,0.0
attn_alt_mean,0.0
attn_alt_first,0.0
attn_ast_max,0.0
attn_pco2_max,0.0
attn_ph_first,0.0
attn_ph_mean,0.0
attn_ph_min,0.0
attn_wbc_first,0.0
attn_calcium_mean,0.0
attn_wbc_min,0.0
attn_wbc_max,0.0
attn_alc_first,0.0
attn_alc_mean,0.0
attn_alc_min,0.0
attn_alc_max,0.0
attn_anc_first,0.0
attn_anc_min,0.0
attn_anc_max,0.0
attn_glucose_first,0.0
attn_glucose_mean,0.0
attn_glucose_min,0.0
attn_glucose_max,0.0
attn_ast_mean,0.0
attn_ast_min,0.0
attn_calcium_min,0.0
age_years,0.0
attn_calcium_first,0.0
attn_symptom_anhelation,0.0
attn_symptom_twitching,0.0
attn_symptom_rale,0.0
attn_symptom_cough,0.0
attn_symptom_fever,0.0
attn_n_cultures_24h,0.0
attn_n_antibiotics_24h,0.0
attn_fluid_balance_ml,0.0
attn_fluid_input_total_ml,0.0
attn_urine_output_per_hour,0.0
attn_urine_output_total_ml,0.0
attn_sbp_abnormal_for_age,0.0
attn_rr_abnormal_for_age,0.0
attn_hr_abnormal_for_age,0.0
attn_spo2_trend,0.0
attn_temperature_trend,0.0
attn_resp_rate_trend,0.0
attn_heart_rate_trend,0.0
attn_potassium_trend,0.0
attn_sodium_trend,0.0
attn_base_excess_trend,0.0
attn_ph_trend,0.0
attn_glucose_trend,0.0
attn_hemoglobin_trend,0.0
attn_symptom_cyanosis,0.0
attn_symptom_listless,0.0
attn_inr_trend,0.0
attn_symptom_cool_extremities,0.0
attn_care_unit_PICU,0.0
attn_care_unit_NICU,0.0
attn_care_unit_CICU,0.0
attn_had_cardiac_surgery_flag,0.0
attn_symptom_abdominal_tenderness,0.0
attn_symptom_rebound_tenderness,0.0
attn_symptom_chest_tightness,0.0
attn_symptom_headache,0.0
attn_symptom_pharyngeal_red,0.0
attn_symptom_dry_and_moist_rales,0.0
attn_symptom_moist_rale,0.0
attn_symptom_erythra,0.0
attn_symptom_abdominal_distension,0.0
attn_symptom_three_depressions_sign,0.0
attn_symptom_phlegm_sound,0.0
attn_symptom_tenderness,0.0
attn_symptom_swelling,0.0
attn_symptom_vomiting,0.0
attn_symptom_arrhythmia,0.0
attn_symptom_skin_jaundice,0.0
attn_symptom_dysphoria,0.0
attn_symptom_hemorrhage,0.0
attn_symptom_warm_extremities,0.0
attn_wbc_trend,0.0
attn_bilirubin_trend,0.0
attn_albumin_max,0.0
attn_spo2_first,0.0
attn_spo2_min,0.0
attn_spo2_max,0.0
attn_ck_first,0.0
attn_ck_mean,0.0
attn_ck_min,0.0
attn_ck_max,0.0
attn_uric_acid_first,0.0
attn_uric_acid_mean,0.0
attn_uric_acid_min,0.0
attn_uric_acid_max,0.0
attn_urea_mean,0.0
attn_urea_min,0.0
attn_urea_max,0.0
attn_ldh_first,0.0
attn_ldh_mean,0.0
attn_ldh_min,0.0
attn_ldh_max,0.0
attn_crp_first,0.0
attn_crp_mean,0.0
attn_lactate_mean,0.0
attn_crp_max,0.0
attn_albumin_mean,0.0
attn_albumin_min,0.0
attn_spo2_mean,0.0
attn_systolic_bp_max,0.0
attn_creatinine_trend,0.0
attn_systolic_bp_min,0.0
attn_platelets_trend,0.0
attn_shock_index,0.0
attn_map_first,0.0
attn_map_mean,0.0
attn_map_min,0.0
attn_map_max,0.0
attn_temperature_first,0.0
attn_temperature_mean,0.0
attn_temperature_min,0.0
attn_temperature_max,0.0
attn_resp_rate_first,0.0
attn_resp_rate_mean,0.0
attn_resp_rate_min,0.0
attn_resp_rate_max,0.0
attn_heart_rate_first,0.0
attn_heart_rate_min,0.0
attn_heart_rate_max,0.0
attn_diastolic_bp_first,0.0
attn_diastolic_bp_mean,0.0
attn_diastolic_bp_min,0.0
attn_diastolic_bp_max,0.0
attn_systolic_bp_first,0.0
attn_systolic_bp_mean,0.0
attn_crp_min,0.0
attn_age_years,0.0
attn_lactate_min,0.0
bicarbonate_first,0.0
hemoglobin_mean,0.0
hemoglobin_min,0.0
hemoglobin_max,0.0
spo2_lab_first,0.0
spo2_lab_mean,0.0
spo2_lab_min,0.0
spo2_lab_max,0.0
anion_gap_first,0.0
anion_gap_mean,0.0
anion_gap_min,0.0
anion_gap_max,0.0
bicarbonate_mean,0.0
hematocrit_max,0.0
bicarbonate_min,0.0
