iter	Passed	Remaining
0	154	78758
1	164	41699
2	172	29181
3	181	22986
4	190	19234
5	199	16717
6	208	15011
7	216	13599
8	224	12500
9	233	11656
10	241	10933
11	248	10326
12	256	9803
13	264	9360
14	271	8963
15	279	8616
16	286	8310
17	293	8034
18	301	7792
19	309	7585
20	317	7396
21	325	7222
22	334	7075
23	342	6934
24	350	6802
25	359	6695
26	367	6576
27	375	6469
28	384	6372
29	392	6281
30	400	6186
31	408	6100
32	416	6026
33	424	5945
34	433	5881
35	441	5814
36	450	5756
37	458	5700
38	467	5643
39	475	5591
40	483	5535
41	491	5482
42	499	5429
43	507	5376
44	515	5322
45	523	5276
46	530	5228
47	538	5183
48	546	5144
49	555	5107
50	564	5080
51	573	5049
52	581	5013
53	589	4974
54	596	4935
55	604	4898
56	612	4864
57	620	4832
58	627	4797
59	635	4765
60	643	4734
61	650	4702
62	658	4671
63	667	4648
64	675	4622
65	683	4596
66	691	4574
67	700	4555
68	710	4539
69	720	4525
70	728	4506
71	737	4486
72	746	4466
73	755	4449
74	764	4435
75	773	4418
76	782	4401
77	791	4383
78	799	4364
79	809	4351
80	819	4337
81	828	4322
82	837	4309
83	847	4295
84	856	4284
85	865	4268
86	874	4251
87	888	4260
88	897	4246
89	908	4237
90	916	4222
91	926	4207
92	934	4190
93	943	4176
94	952	4161
95	960	4143
96	968	4124
97	976	4106
98	985	4090
99	993	4074
100	1002	4058
101	1010	4043
102	1020	4032
103	1027	4012
104	1035	3993
105	1042	3974
106	1051	3961
107	1060	3946
108	1068	3930
109	1075	3912
110	1083	3894
111	1090	3876
112	1097	3857
113	1105	3839
114	1112	3822
115	1120	3805
116	1127	3788
117	1136	3775
118	1144	3761
119	1152	3746
120	1160	3730
121	1168	3716
122	1176	3700
123	1183	3684
124	1191	3668
125	1198	3653
126	1205	3636
127	1213	3621
128	1220	3605
129	1228	3590
130	1235	3574
131	1244	3564
132	1253	3554
133	1262	3543
134	1270	3528
135	1280	3521
136	1288	3508
137	1297	3496
138	1305	3484
139	1313	3470
140	1322	3461
141	1330	3447
142	1337	3433
143	1345	3419
144	1352	3405
145	1360	3391
146	1368	3380
147	1376	3367
148	1384	3354
149	1391	3340
150	1399	3328
151	1407	3315
152	1415	3302
153	1423	3289
154	1431	3278
155	1440	3268
156	1450	3260
157	1458	3249
158	1466	3237
159	1475	3227
160	1484	3216
161	1492	3205
162	1499	3192
163	1508	3182
164	1517	3171
165	1525	3160
166	1533	3149
167	1541	3137
168	1550	3128
169	1558	3116
170	1567	3108
171	1575	3096
172	1583	3085
173	1591	3073
174	1599	3061
175	1606	3048
176	1614	3036
177	1621	3023
178	1628	3011
179	1635	2998
180	1643	2986
181	1650	2974
182	1657	2962
183	1665	2950
184	1672	2938
185	1680	2926
186	1687	2914
187	1694	2902
188	1701	2890
189	1709	2879
190	1717	2869
191	1725	2858
192	1733	2847
193	1741	2836
194	1749	2825
195	1757	2814
196	1764	2803
197	1772	2792
198	1780	2782
199	1789	2773
200	1797	2763
201	1804	2751
202	1812	2740
203	1819	2729
204	1827	2718
205	1834	2707
206	1842	2696
207	1849	2685
208	1857	2674
209	1864	2663
210	1871	2652
211	1879	2641
212	1887	2631
213	1894	2620
214	1902	2609
215	1909	2598
216	1916	2587
217	1924	2577
218	1931	2566
219	1939	2556
220	1946	2545
221	1954	2535
222	1962	2525
223	1969	2514
224	1977	2504
225	1985	2495
226	1993	2484
227	2000	2474
228	2008	2464
229	2015	2454
230	2023	2443
231	2030	2433
232	2037	2422
233	2045	2412
234	2052	2401
235	2059	2391
236	2067	2381
237	2074	2370
238	2081	2360
239	2089	2350
240	2097	2340
241	2104	2331
242	2112	2321
243	2119	2310
244	2127	2300
245	2134	2290
246	2141	2280
247	2149	2270
248	2156	2260
249	2164	2250
250	2171	2240
251	2179	2231
252	2186	2221
253	2194	2211
254	2201	2201
255	2209	2191
256	2216	2182
257	2223	2172
258	2231	2162
259	2238	2152
260	2246	2142
261	2253	2133
262	2261	2123
263	2268	2113
264	2275	2104
265	2283	2094
266	2291	2085
267	2298	2075
268	2306	2066
269	2314	2057
270	2321	2047
271	2329	2038
272	2336	2028
273	2344	2019
274	2351	2009
275	2359	2000
276	2366	1990
277	2373	1981
278	2381	1971
279	2389	1962
280	2396	1953
281	2403	1943
282	2411	1934
283	2418	1924
284	2426	1915
285	2433	1905
286	2440	1896
287	2448	1887
288	2456	1878
289	2463	1868
290	2470	1859
291	2478	1850
292	2485	1840
293	2493	1831
294	2500	1822
295	2508	1813
296	2516	1804
297	2523	1795
298	2531	1786
299	2554	1788
300	2562	1778
301	2569	1769
302	2577	1760
303	2584	1751
304	2592	1742
305	2599	1733
306	2607	1723
307	2614	1714
308	2621	1705
309	2629	1696
310	2636	1687
311	2643	1677
312	2650	1668
313	2657	1658
314	2665	1649
315	2672	1640
316	2679	1631
317	2687	1622
318	2694	1613
319	2702	1604
320	2710	1595
321	2717	1586
322	2725	1577
323	2732	1568
324	2740	1560
325	2748	1551
326	2755	1542
327	2763	1533
328	2770	1524
329	2777	1515
330	2785	1506
331	2792	1497
332	2799	1488
333	2807	1479
334	2814	1470
335	2821	1461
336	2828	1452
337	2836	1443
338	2843	1434
339	2851	1425
340	2858	1416
341	2864	1407
342	2872	1398
343	2880	1389
344	2887	1381
345	2895	1372
346	2902	1363
347	2910	1354
348	2917	1346
349	2925	1337
350	2932	1328
351	2939	1319
352	2946	1310
353	2954	1301
354	2961	1292
355	2968	1284
356	2976	1275
357	2983	1266
358	2991	1258
359	2998	1249
360	3006	1241
361	3013	1232
362	3020	1223
363	3028	1214
364	3035	1206
365	3043	1197
