feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
lactate_max,0.7899760562569251,1.593285128781786,1.46535430410943,1.5032264884051185,1.660888143163839
ddimer_first,0.446871985854477,0.22985993866509608,0.3816525664119979,0.9121643866824153,1.4820749465493959
platelets_min,0.38875746194711824,1.0986655936675054,0.6825336489852103,1.00618062661076,0.6460786298347764
ddimer_mean,0.3460067909796072,0.3299491890344542,0.38763478897998194,0.6810727416917927,1.0371691772784841
inr_max,0.29892223887578334,1.144502971328197,0.43812763371954067,0.6679616772976716,0.5284176954573669
pt_max,0.2729594303549739,1.2091399481031329,0.39140636843597254,0.495737271771616,0.49121174904657533
fluid_input_total_ml,0.13999841825581816,0.13026721966408086,0.1501459637344142,0.4013348143037947,0.37273802869599937
had_surgery_flag,0.13415203627694877,0.5022579729652821,0.20384574033975406,0.2070515271478799,0.2737694046070756
calcium_max,0.13156231001623653,0.43712305307523724,0.2800637369083538,0.16826931616581353,0.23185374673953904
calcium_first,0.12471113708934733,0.32123997009195504,0.1738665784172822,0.21799315219481707,0.29866317407512055
calcium_mean,0.11666933819916156,0.2518448149649662,0.2521584871703938,0.33249846519249876,0.1635266988107497
systolic_bp_min,0.1137951816796736,0.1612882857492155,0.20665039336782787,0.3289732502845597,0.21478079557529028
sodium_min,0.11300534042353716,0.2765170962696534,0.18520942082033767,0.2268048571728878,0.23912664404297732
heart_rate_mean,0.10725286644700621,0.33446867174524103,0.0984063133407894,0.2923152088064879,0.238511109755203
platelets_mean,0.09713238975690856,0.21112015816390334,0.14682265336978714,0.2177468543855476,0.21387470310693527
pt_mean,0.09234668296719557,0.2698038198943973,0.17443080830305832,0.1688706238608103,0.1704202488308811
crp_min,0.09103137264907488,0.35191072956039604,0.1434578224543182,0.15897930547192152,0.17041096292749536
diastolic_bp_mean,0.0891582077544697,0.08705999874750037,0.27092253715730663,0.16483737312659688,0.1274748047504532
diastolic_bp_first,0.07813267461526541,0.071328031997769,0.09086142592657256,0.21069976391829384,0.20812918191468885
resp_rate_min,0.07595104231578795,0.08900556758585595,0.3006466779638629,0.09272222010783676,0.06590269664835278
spo2_lab_first,0.06866091317293631,0.11075480912513783,0.1423143059378639,0.10109519755048738,0.15232698190701496
glucose_max,0.06370705919206895,0.2617507651512872,0.10405176846830597,0.10402082519414729,0.11481939976574636
ldh_first,0.057793990486476675,0.09852430143509042,0.07432594348528888,0.11034171119089758,0.15416624717198635
diastolic_bp_max,0.05578568286023523,0.04959125872571456,0.1578494405836935,0.11306454888123901,0.08674505585320032
uric_acid_first,0.05528163631260127,0.19919433846682208,0.07192653546816999,0.17807593359962226,0.0857630934986821
ph_min,0.05459254739534421,0.08920793907410415,0.11964343535465027,0.1534859002768632,0.08425313101850343
pao2_max,0.052349337845805775,0.14516885559815632,0.1226341061215008,0.10346325045922765,0.07559456790177001
