feature,federated_mean_abs_shap,CICU_mean_abs_shap,NICU_mean_abs_shap,PICU_mean_abs_shap,SICU_mean_abs_shap
lactate_max,0.898393670198089,2.0072320224892275,1.5281354618715857,1.6365764198288952,1.9799576197429625
pt_max,0.48705746484032564,1.727383845672535,0.660996155623193,1.0556655744344372,0.9588342582780028
ddimer_mean,0.4646014838338701,0.4955223709477038,0.4452690060701002,1.0280214941637198,1.3925343370675398
inr_max,0.27026356832564313,1.262170149897779,0.4137083272532355,0.4005918329365665,0.4840659882025869
fluid_input_total_ml,0.2474791987403655,0.6013355493814563,0.29876356216299105,0.49063782663421146,0.6172549639889995
pt_mean,0.22188891176060538,0.9471213316643045,0.40202658539867714,0.3231552701674127,0.3730702794334726
platelets_min,0.20666489720223785,0.38720307863454606,0.3956744536587928,0.437999593074536,0.4136369027605972
calcium_max,0.16985954749870683,0.2497574446946424,0.37985105236799577,0.43419371752661706,0.28219366917286254
platelets_first,0.12733003101752466,0.2734025351919033,0.2613690147779847,0.3102052706164995,0.21290406296179118
had_surgery_flag,0.11972227399996488,0.3150919232868609,0.16904261606278626,0.18916525761153222,0.29154685635312133
resp_rate_max,0.10359983582817038,0.4239686491692951,0.1639227355197394,0.14195560956840178,0.20320974585431675
glucose_max,0.09262765150242205,0.3212125702942169,0.16348131938688093,0.14873783975946853,0.17482345877867642
calcium_mean,0.08990924510910007,0.20517024655891863,0.2154419334595349,0.22495113018131424,0.11838369242805337
resp_rate_trend,0.08773743182867139,0.12403838617462268,0.12449772027267243,0.21210786968011497,0.21261808072002666
temperature_min,0.07618978760303133,0.1094245949664056,0.092725727008529,0.2231521364852893,0.18050715532644615
resp_rate_min,0.07356636501994854,0.09871170220437875,0.2703255237188272,0.08540616407915913,0.07966039909890646
fibrinogen_min,0.07281525190214626,0.052775989839003654,0.009898032778979531,0.05955225210509557,0.3189044775993568
hematocrit_min,0.07024980699023883,0.1109414460249234,0.1425518870555297,0.1303530339518789,0.1476584885740261
pco2_min,0.06765734580343087,0.20747388340526313,0.12130934245422433,0.11576525101889912,0.13087348110193267
heart_rate_first,0.06733618418114945,0.15892745391148386,0.10047005857081212,0.08231766250379874,0.17493699769148388
heart_rate_min,0.06692511184141167,0.21418169128712045,0.11241430948363926,0.13715483149835472,0.12362867467398109
alc_mean,0.06611129187142287,0.13441208600507237,0.15520662772797375,0.1069226318622633,0.11934075287391296
base_excess_min,0.059621072921476725,0.1825941368500575,0.1267601620933811,0.0703730897877606,0.1121602044287852
ph_min,0.057298544454931225,0.08141014635493302,0.143301668675247,0.132404509803983,0.08924170318430795
platelets_mean,0.05557738054876128,0.09260596116070068,0.07659856068919561,0.14607752068439833,0.12757087510039314
pao2_max,0.054807384746757386,0.2372377912677078,0.1023416974863997,0.09717655632074106,0.08126942181368094
alt_first,0.05359362290766789,0.09964412875465188,0.10456092001093081,0.1033105519576371,0.11021520264301661
ast_mean,0.052286027684118344,0.06389455688298425,0.08390871518418384,0.14694039715405632,0.1126925352561163
bilirubin_min,0.050940453707716465,0.04532853330214387,0.10384094789512123,0.059892197988854444,0.1314929378234369
ddimer_first,0.05080701854681177,0.07280474862069122,0.07620898125583679,0.13465833214469397,0.11435462528248931
lactate_trend,0.04846873275440172,0.0911864360185145,0.07457556295643825,0.16468489298529843,0.08586996581125989
lactate_mean,0.04554371215605808,0.07344653480857173,0.09507135744656223,0.07029485108066237,0.09910468258923918
hematocrit_mean,0.042163922332426815,0.08130776215870227,0.09056924868436636,0.04780665535583908,0.0931216256751991
hemoglobin_trend,0.04184298763167024,0.07687021430159319,0.107898288452853,0.075207766709083,0.06656489840521058
ptt_first,0.04099954147784996,0.054624978266057375,0.043803136030565064,0.07952057718873821,0.12072622726263275
anion_gap_min,0.040293067700471384,0.056644604015425516,0.0730417778103869,0.0771791649604568,0.09300376788267693
ddimer_min,0.040053788233676446,0.042355204741895094,0.04692897679433288,0.11658026815522989,0.10109428822533013
pco2_max,0.039878646349778384,0.04477140796737573,0.12269379418410319,0.08492031512085105,0.04930893821434828
pao2_first,0.03917972593749835,0.10961167903263558,0.05724979246771105,0.06503687526412114,0.09059003549103223
ph_max,0.037653920968444006,0.04017773631003827,0.07752647606598294,0.07358606538122711,0.08216835862582361
ptt_min,0.03549085692998038,0.04109866754463196,0.04662350700344337,0.04462149423374605,0.10926304428380396
temperature_trend,0.034215828204294946,0.0858159612336514,0.05503403144907693,0.07732404983276556,0.06900039338279432
hr_abnormal_for_age,0.03388615748213396,0.08006175037034197,0.06789484403678532,0.09741621562950523,0.04964012596386912
pao2_min,0.033808366958700216,0.08441185387926842,0.045678485643160335,0.09274944917770989,0.06864987288677481
temperature_first,0.03374573487984852,0.01723832287438645,0.1403951555616042,0.03145371119868012,0.03410856242585005
hematocrit_first,0.033563925488196394,0.05898881556671711,0.08307541067988981,0.04749083059732253,0.06253901642727804
calcium_min,0.03233397114895189,0.05386790920903282,0.08149273341273786,0.09121277490773204,0.04054132985756087
spo2_trend,0.03164825915728997,0.0540293949149979,0.023292080740394402,0.08329922907712614,0.08930371460089821
lactate_first,0.03148714603943804,0.04809775338484017,0.07527992522165025,0.06184654754967042,0.05562922124943453
glucose_first,0.031420421979873374,0.12271544089283573,0.05375663768493343,0.054278216640777435,0.05514938026081581
age_years,0.030972054670510205,0.06572704378931263,0.05835757921926745,0.06413000939256869,0.061210321674253644
temperature_mean,0.03068996305811908,0.07514602019226059,0.06237215703473677,0.06668200057126805,0.05262003073064167
