feature,mean_abs_shap,display_name,rank
lactate_max,0.9919822184263843,Lactate (max),1
ddimer_max,0.9573892607351585,D-dimer (max),2
platelets_min,0.7762260985403078,Platelets (min),3
inr_max,0.5389678237873222,INR (max),4
calcium_max,0.5191997851768151,Calcium (max),5
pt_max,0.2590288028360192,PT (max),6
calcium_mean,0.2215509804597806,Calcium (mean),7
glucose_max,0.21425035354092437,Glucose (max),8
pao2_max,0.17612490214623078,PaO2 (max),9
ph_min,0.16052059860986806,pH (min),10
hematocrit_min,0.14608882452732036,Haematocrit (min),11
platelets_first,0.14574488051553858,Platelets (first),12
care_unit_SICU,0.12438593197560101,care_unit_SICU,13
fibrinogen_min,0.11477667979186779,Fibrinogen (min),14
care_unit_CICU,0.11361650594750734,care_unit_CICU,15
ddimer_mean,0.1083113265650977,D-dimer (mean),16
platelets_mean,0.0908292526218213,Platelets (mean),17
potassium_min,0.08437896319605707,Potassium (min),18
lactate_first,0.07490995109813448,Lactate (first),19
bicarbonate_min,0.07258060843322736,Bicarbonate (min),20
care_unit_General ICU,0.06793521848662402,care_unit_General ICU,21
inr_mean,0.05749415659668742,INR (mean),22
glucose_mean,0.056833795432197236,glucose_mean,23
platelets_max,0.049017303945450216,Platelets (max),24
pco2_max,0.0467839680806388,pco2_max,25
lactate_trend,0.045349048422891725,Lactate (trend),26
calcium_min,0.044766822658430294,Calcium (min),27
creatinine_mean,0.04104280763190054,creatinine_mean,28
lactate_mean,0.04047180569185874,Lactate (mean),29
temperature_max,0.039746647527765154,temperature_max,30
calcium_first,0.03895348737869682,calcium_first,31
resp_rate_max,0.03796756005896561,resp_rate_max,32
ph_max,0.037216120125666274,ph_max,33
pt_first,0.036952828252913086,PT (first),34
fibrinogen_first,0.036125227943613426,fibrinogen_first,35
urea_first,0.03382976679950632,urea_first,36
inr_first,0.03355226365160838,INR (first),37
hemoglobin_mean,0.0329535220115284,hemoglobin_mean,38
base_excess_trend,0.03158338696295933,base_excess_trend,39
anion_gap_first,0.031439840562658285,anion_gap_first,40
pao2_first,0.03097749367662373,pao2_first,41
base_excess_min,0.030424310423907665,Base excess (min),42
base_excess_max,0.029764031412249977,base_excess_max,43
sodium_min,0.029691824131727374,sodium_min,44
gender,0.02941276251045307,gender,45
pao2_mean,0.029409123307706776,pao2_mean,46
had_surgery_flag,0.029235799878033094,had_surgery_flag,47
age_years,0.028888393366969342,Age (years),48
urea_min,0.027316030547932475,urea_min,49
hemoglobin_min,0.024181594007117578,hemoglobin_min,50
n_antibiotics_24h,0.02310667977807315,n_antibiotics_24h,51
bicarbonate_max,0.02248187386787471,bicarbonate_max,52
base_excess_mean,0.022401457465201724,Base excess (mean),53
ph_mean,0.02220081449728869,ph_mean,54
n_cultures_24h,0.020955601231586286,n_cultures_24h,55
creatinine_max,0.01940155912449399,Creatinine (max),56
potassium_mean,0.01926197252872772,potassium_mean,57
spo2_lab_max,0.019201923724602183,spo2_lab_max,58
bicarbonate_first,0.018481793659658432,bicarbonate_first,59
pao2_min,0.017424783323816518,pao2_min,60
bicarbonate_mean,0.0168580459742522,bicarbonate_mean,61
ddimer_first,0.016836826249148104,D-dimer (first),62
anion_gap_min,0.016466654250654307,anion_gap_min,63
pco2_min,0.016062740903034327,pco2_min,64
hemoglobin_trend,0.015950687240504195,hemoglobin_trend,65
pco2_first,0.015007200415068258,pco2_first,66
care_unit_NICU,0.014729847742813091,care_unit_NICU,67
urea_max,0.014540204116397365,urea_max,68
anion_gap_max,0.013583775342237295,anion_gap_max,69
crp_first,0.013241907082681232,crp_first,70
hematocrit_first,0.013003751174759591,hematocrit_first,71
spo2_lab_first,0.012997034634603293,spo2_lab_first,72
fibrinogen_mean,0.012879438071766615,fibrinogen_mean,73
crp_max,0.012674993608704296,CRP (max),74
potassium_max,0.012632393203951202,potassium_max,75
wbc_min,0.012382962640434493,wbc_min,76
potassium_first,0.01221478898778401,potassium_first,77
lactate_min,0.012012613091922688,Lactate (min),78
inr_trend,0.011456181945692865,inr_trend,79
pt_mean,0.011406556982656997,PT (mean),80
alt_max,0.011220602267163846,ALT (max),81
ph_trend,0.01103798506040865,ph_trend,82
glucose_first,0.010992332536886223,glucose_first,83
anc_first,0.010987024085978727,anc_first,84
inr_min,0.01080568422391878,inr_min,85
ast_first,0.010479698376536404,ast_first,86
ck_min,0.01027445099250571,ck_min,87
glucose_min,0.01017395423969128,Glucose (min),88
sodium_trend,0.010095117998581636,sodium_trend,89
hematocrit_mean,0.009877430691920696,hematocrit_mean,90
ptt_mean,0.00984047432864093,ptt_mean,91
uric_acid_min,0.009721603404816483,uric_acid_min,92
heart_rate_trend,0.009719053090362018,heart_rate_trend,93
n_positive_cultures,0.009709145040892658,n_positive_cultures,94
ddimer_min,0.00951630887349438,ddimer_min,95
heart_rate_first,0.009248016829460097,heart_rate_first,96
glucose_trend,0.009243539740604987,glucose_trend,97
ptt_min,0.00909967691573716,ptt_min,98
sodium_mean,0.008886934426838026,sodium_mean,99
systolic_bp_first,0.008674907238272068,systolic_bp_first,100
temperature_min,0.0083948666685777,temperature_min,101
hemoglobin_max,0.0083292016494168,hemoglobin_max,102
anion_gap_mean,0.008169892489524277,anion_gap_mean,103
hematocrit_max,0.008060089986025929,hematocrit_max,104
