feature,mean_abs_shap,rank
n_antibiotics_24h,5.252457172324302,1
lactate_max,0.9556181696989526,2
platelets_min,0.5691874047885281,3
inr_max,0.5274711605088368,4
ddimer_max,0.5246224363089144,5
n_cultures_24h,0.44937533479003633,6
ddimer_mean,0.37908675996758684,7
pt_max,0.12881184519555056,8
glucose_max,0.12813043114945571,9
platelets_mean,0.11885462865636862,10
calcium_max,0.11610572495608132,11
ph_min,0.11311940220126308,12
care_unit_CICU,0.11040623253281927,13
platelets_first,0.10181897743003594,14
pao2_max,0.09428687762873118,15
fibrinogen_min,0.08050035689028608,16
potassium_min,0.07969470975708542,17
calcium_mean,0.07613795537080015,18
hematocrit_min,0.07491925692116541,19
pco2_max,0.07283825500017677,20
care_unit_General ICU,0.06549693926282445,21
ddimer_min,0.06074770561867441,22
ddimer_first,0.0578499495342465,23
pt_mean,0.056514963705493165,24
lactate_first,0.05028386675071888,25
pt_first,0.046549435742794174,26
inr_first,0.03720710245615655,27
lactate_mean,0.03589980988154904,28
hemoglobin_mean,0.03496175670656989,29
had_surgery_flag,0.03419870401061092,30
ph_max,0.029492495093514946,31
inr_mean,0.028830150788534424,32
spo2_lab_max,0.027182455388022282,33
ptt_min,0.026145626087352356,34
sodium_min,0.025527447618514176,35
care_unit_SICU,0.0253664822282089,36
inr_min,0.024544156409579878,37
bicarbonate_min,0.022952628512164334,38
creatinine_mean,0.022556127721649468,39
anion_gap_max,0.020475232933267095,40
urea_max,0.0200520232709934,41
inr_trend,0.018612000649280196,42
fibrinogen_mean,0.018259315911039256,43
pao2_first,0.017000723326059508,44
ph_mean,0.016918295333684902,45
base_excess_mean,0.016142316456971496,46
ptt_first,0.015922262651119217,47
lactate_min,0.015533553213828882,48
base_excess_first,0.015465867657187353,49
anion_gap_mean,0.015236726283464506,50
hematocrit_first,0.014323947162335923,51
alt_min,0.014180740429939538,52
base_excess_min,0.014148388307037428,53
calcium_min,0.013446220464157105,54
resp_rate_max,0.013196342770335311,55
sodium_max,0.012506276604697034,56
heart_rate_trend,0.012048587222524084,57
bilirubin_min,0.011887933840206543,58
platelets_trend,0.011579017731938866,59
resp_rate_min,0.011072871355935834,60
creatinine_max,0.010662011948455152,61
pao2_mean,0.010240098079993654,62
age_years,0.010051298643688613,63
ph_trend,0.009819813692194212,64
hemoglobin_trend,0.009778428200618056,65
uric_acid_min,0.00962826624444872,66
bilirubin_first,0.009499308862848463,67
pco2_min,0.009477007627937531,68
resp_rate_mean,0.009405588101595476,69
anion_gap_first,0.00911079649361276,70
calcium_first,0.008926555687433353,71
spo2_lab_mean,0.008863515875013358,72
pao2_min,0.0088072521767352,73
anc_min,0.008631203858244445,74
urea_mean,0.008455177540401797,75
alc_first,0.008253665872853944,76
base_excess_trend,0.008066443568252493,77
urea_min,0.007875563470950683,78
potassium_first,0.007692213567171946,79
albumin_min,0.007585208757566502,80
anion_gap_min,0.007504721475827863,81
glucose_mean,0.007470523789339825,82
pco2_mean,0.007459572303095284,83
ptt_max,0.007226195554445372,84
hemoglobin_min,0.007078304138682424,85
crp_mean,0.0069384960279157805,86
wbc_max,0.006922743697632278,87
symptom_cough,0.006904755794969141,88
bilirubin_trend,0.006747391638105233,89
care_unit_NICU,0.006706674108963232,90
glucose_trend,0.006361670365178207,91
gender,0.006253190518959745,92
urea_first,0.006200773874295105,93
anc_max,0.005728935846148292,94
hematocrit_max,0.00561541332384589,95
alc_min,0.005507785841357707,96
map_min,0.005310888068712126,97
ast_first,0.0051169290707740265,98
bicarbonate_max,0.005110703463961655,99
alt_max,0.004964474089572426,100
creatinine_first,0.0048499873559970175,101
fibrinogen_first,0.004811451815666329,102
wbc_mean,0.004778799726697568,103
alt_mean,0.004724381201517724,104
glucose_min,0.0047050327401001275,105
pt_min,0.004631697081257459,106
bicarbonate_first,0.00444555942151133,107
systolic_bp_min,0.004334584774020878,108
bicarbonate_mean,0.004245856615918004,109
uric_acid_mean,0.004232392288198767,110
alc_mean,0.0042225583147191305,111
lactate_trend,0.004107204083880516,112
spo2_lab_first,0.0038560728138093423,113
platelets_max,0.0038180133831596033,114
uric_acid_max,0.00378780349480369,115
sodium_first,0.0037388058807377956,116
creatinine_min,0.0035721499488425845,117
heart_rate_mean,0.0035457084294680126,118
ldh_mean,0.003521359720043854,119
temperature_max,0.003515944015275198,120
ptt_mean,0.0035030529561393044,121
ldh_min,0.003493757912949213,122
n_positive_cultures,0.003470743742336479,123
wbc_trend,0.003438636971398766,124
wbc_first,0.0032957046052580334,125
bilirubin_max,0.003159719468904679,126
anc_mean,0.0031528837774470364,127
bilirubin_mean,0.003132263929497685,128
hematocrit_mean,0.003075270790294145,129
fibrinogen_max,0.0030666278404144123,130
sodium_mean,0.0030157095689802476,131
resp_rate_first,0.0030062730402546697,132
crp_max,0.003006114534491474,133
base_excess_max,0.0029301760743694082,134
potassium_mean,0.0028698766781740065,135
wbc_min,0.002826396701107552,136
ldh_first,0.0027929365830687922,137
glucose_first,0.002710666320358838,138
temperature_mean,0.002589095644987489,139
spo2_lab_min,0.002560577082773496,140
uric_acid_first,0.0025256925232348807,141
hemoglobin_first,0.0024844859684975324,142
fluid_balance_ml,0.002454145116423773,143
alt_first,0.002404482892393024,144
potassium_trend,0.00229993525865951,145
systolic_bp_first,0.0022308203315005155,146
creatinine_trend,0.0021879949721150304,147
potassium_max,0.002137442541290074,148
ast_mean,0.0021221800593845567,149
temperature_trend,0.0021063594478251306,150
fluid_input_total_ml,0.0020170513416530975,151
pco2_first,0.0019747346989968974,152
ph_first,0.0019615292953678136,153
sodium_trend,0.0019090576764734038,154
shock_index,0.0017342648123653546,155
ck_max,0.0016648703760872873,156
ck_first,0.0016632582150803961,157
map_max,0.0015685986382075734,158
ldh_max,0.0014798608433103722,159
ck_min,0.0014196910848222406,160
alc_max,0.001357824771210497,161
urine_output_per_hour,0.0012931750101672764,162
spo2_mean,0.0012682665964146033,163
resp_rate_trend,0.0012001540295120813,164
ck_mean,0.0011554618990886085,165
heart_rate_max,0.0010233185949891433,166
diastolic_bp_mean,0.0010004413393403032,167
albumin_mean,0.0009534486551867948,168
diastolic_bp_max,0.0008606834999242399,169
ast_max,0.00078785657484784,170
crp_first,0.0007782318618022018,171
ast_min,0.0007062992766608339,172
systolic_bp_max,0.0006371264110810538,173
anc_first,0.0005559014194126021,174
symptom_listless,0.0004921005566751176,175
hemoglobin_max,0.00046634830640093967,176
albumin_first,0.00045931258591912514,177
crp_min,0.0004112954803209072,178
symptom_edema,0.00040084939410936303,179
systolic_bp_mean,0.00032514745203171747,180
symptom_vomiting,0.00031524511746012357,181
