iter	Passed	Remaining
0	8	10598
1	15	9916
2	22	9711
3	30	9545
4	37	9537
5	45	9603
6	53	9619
7	60	9523
8	67	9517
9	75	9518
10	83	9552
11	90	9539
12	98	9526
13	105	9486
14	113	9479
15	120	9497
16	127	9454
17	135	9422
18	143	9440
19	150	9454
20	158	9453
21	165	9429
22	173	9409
23	180	9398
24	188	9389
25	195	9364
26	202	9346
27	209	9327
28	217	9335
29	224	9313
30	232	9297
31	239	9286
32	246	9256
33	253	9236
34	260	9207
35	267	9207
36	275	9201
37	283	9207
38	292	9242
39	299	9239
40	307	9225
41	314	9212
42	321	9204
43	328	9182
44	335	9166
45	343	9151
46	351	9158
47	358	9147
48	366	9148
49	373	9133
50	381	9137
51	388	9122
52	396	9117
53	403	9102
54	410	9090
55	417	9073
56	425	9068
57	431	9043
58	438	9014
59	444	8990
60	451	8963
61	457	8944
62	464	8918
63	470	8894
64	477	8871
65	484	8853
66	490	8837
67	497	8808
68	504	8806
69	511	8785
70	517	8769
71	524	8756
72	531	8732
73	538	8717
74	544	8693
75	550	8676
76	557	8660
77	564	8644
78	570	8625
79	577	8609
80	583	8593
81	590	8583
82	597	8568
83	604	8557
84	611	8546
85	618	8533
86	624	8517
87	631	8503
88	638	8488
89	644	8472
90	651	8456
91	657	8443
92	664	8427
93	671	8416
94	677	8399
95	683	8383
96	690	8370
97	696	8355
98	703	8341
99	710	8330
100	716	8314
101	722	8298
102	729	8286
103	736	8274
104	742	8258
105	749	8249
106	755	8234
107	762	8222
108	768	8208
109	775	8194
110	781	8183
111	788	8171
112	794	8158
113	800	8142
114	807	8135
115	814	8120
116	820	8109
117	827	8094
118	833	8082
119	840	8072
120	846	8061
121	853	8049
122	860	8040
123	866	8032
124	873	8020
125	879	8006
126	886	8002
127	893	7990
128	900	7984
129	906	7972
130	914	7968
131	920	7956
132	927	7946
133	933	7934
134	940	7924
135	947	7919
136	954	7910
137	961	7906
138	968	7899
139	975	7890
140	982	7885
141	989	7883
142	997	7878
143	1003	7869
144	1010	7858
145	1016	7849
146	1023	7842
147	1031	7837
148	1037	7828
149	1044	7819
150	1051	7811
151	1057	7801
152	1064	7795
153	1071	7786
154	1078	7776
155	1085	7769
156	1091	7760
157	1098	7753
158	1105	7744
159	1112	7738
160	1118	7728
161	1125	7720
162	1132	7710
163	1139	7702
164	1145	7693
165	1152	7683
166	1158	7675
167	1166	7671
168	1172	7659
169	1179	7649
170	1185	7642
171	1192	7632
172	1199	7624
173	1205	7615
174	1212	7606
175	1219	7598
176	1225	7589
177	1232	7580
178	1238	7572
179	1245	7562
180	1253	7560
181	1259	7550
182	1266	7542
183	1274	7541
184	1281	7535
185	1288	7528
186	1294	7519
187	1301	7509
188	1307	7500
189	1314	7491
190	1320	7481
191	1327	7474
192	1334	7465
193	1340	7456
194	1347	7450
195	1354	7440
196	1360	7432
197	1367	7423
198	1373	7414
199	1380	7407
200	1387	7398
201	1393	7390
202	1400	7382
203	1407	7376
204	1414	7366
205	1420	7358
206	1427	7352
207	1434	7343
208	1441	7336
209	1447	7328
210	1454	7320
211	1461	7313
212	1467	7304
213	1474	7296
214	1481	7287
215	1487	7278
216	1494	7273
217	1501	7264
218	1507	7256
219	1514	7248
220	1521	7241
221	1527	7233
222	1534	7225
223	1541	7218
224	1547	7209
225	1555	7204
226	1561	7196
227	1568	7187
228	1574	7178
229	1581	7170
230	1587	7162
231	1594	7153
232	1600	7144
233	1607	7136
234	1613	7128
235	1620	7120
236	1625	7107
237	1633	7102
238	1639	7093
239	1646	7086
240	1652	7077
241	1659	7069
242	1666	7062
243	1671	7050
244	1678	7043
245	1685	7036
246	1692	7028
247	1699	7022
248	1706	7016
249	1712	7009
250	1719	7001
251	1725	6992
252	1732	6984
253	1739	6976
254	1745	6969
