number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_class_weight_pos,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.9989105350938761,2026-04-22 00:52:46.281164,2026-04-22 00:53:53.587692,0 days 00:01:07.306528,0.15601864044243652,45,4.531616510212273,9,687,6.387926357773329,0.2536999076681772,0.3119890406724053,COMPLETE
1,0.9996873969141248,2026-04-22 00:53:53.588692,2026-04-22 00:54:25.730166,0 days 00:00:32.141474,0.8324426408004217,72,2.1419157844870185,4,982,9.72918866945795,0.11114989443094977,0.4246782213565523,COMPLETE
2,0.999575121684161,2026-04-22 00:54:25.731227,2026-04-22 00:55:33.257007,0 days 00:01:07.525780,0.6118528947223795,97,2.7822664515279207,7,595,3.6210622617823773,0.05958389350068958,0.27898772130408367,COMPLETE
3,0.9997188116679305,2026-04-22 00:55:33.257007,2026-04-22 00:56:11.025150,0 days 00:00:37.768143,0.5924145688620425,168,2.0968344329055206,5,793,5.628109945722504,0.14447746112718687,0.09290082543999545,COMPLETE
4,0.99820448874368,2026-04-22 00:56:11.026152,2026-04-22 01:00:46.418710,0 days 00:04:35.392558,0.3046137691733707,185,3.0405337280886044,10,284,8.275576133048151,0.2521267904777921,0.19534422801276774,COMPLETE
5,0.9990286684125959,2026-04-22 01:00:46.418710,2026-04-22 01:01:01.452542,0 days 00:00:15.033832,0.2587799816000169,101,3.320238074122338,4,358,9.18388361870904,0.05388108577817234,1.325044568707964,COMPLETE
6,0.9977952662676884,2026-04-22 01:01:01.453545,2026-04-22 01:16:12.257184,0 days 00:15:10.803639,0.9394989415641891,165,4.726559822580909,10,911,7.976195410250031,0.01875220945578641,1.7896547008552977,COMPLETE
7,0.995193078342689,2026-04-22 01:16:12.257184,2026-04-22 01:16:28.713964,0 days 00:00:16.456780,0.388677289689482,217,2.748636643427562,4,315,3.927972976869379,0.01947558230629543,0.5426980635477918,COMPLETE
8,0.9995259523893424,2026-04-22 01:16:28.713964,2026-04-22 01:16:55.180395,0 days 00:00:26.466431,0.07455064367977082,204,2.1955048853696035,4,565,8.219772826786357,0.06333268775321843,1.9737738732010346,COMPLETE
9,0.9992230479355586,2026-04-22 01:16:55.180395,2026-04-22 01:17:31.591309,0 days 00:00:36.410914,0.7712703466859457,112,1.905541708337954,8,207,7.561064512368886,0.1601531217136121,0.14808930346818072,COMPLETE
10,0.9990841376104204,2026-04-22 01:17:31.592314,2026-04-22 01:19:52.682341,0 days 00:02:21.090027,0.5656130906814032,246,1.541484084640759,6,1399,1.1616568805333802,0.010206070557577008,0.8536257907666286,COMPLETE
11,0.9996570951623326,2026-04-22 01:19:52.683352,2026-04-22 01:20:26.941532,0 days 00:00:34.258180,0.798271706039643,47,3.724310016923023,6,1050,5.015306343773883,0.11438892897450689,0.7175725950193935,COMPLETE
12,0.9997710618880722,2026-04-22 01:20:26.942536,2026-04-22 01:20:58.643816,0 days 00:00:31.701280,0.7212825694076663,136,2.338889757980909,5,1125,1.6117912659935838,0.10781135193503111,0.015515366664302949,COMPLETE
13,0.9997753064012569,2026-04-22 01:20:58.644817,2026-04-22 01:21:45.732093,0 days 00:00:47.087276,0.6510158031715946,150,2.479968413446066,6,1251,1.1649560268417756,0.09719442732457283,0.005903789775888471,COMPLETE
14,0.9997296764491457,2026-04-22 01:21:45.733094,2026-04-22 01:22:40.669244,0 days 00:00:54.936150,0.6669612942595616,135,4.029137930217209,6,1260,1.1725950401120788,0.08023092758704778,1.1194452985665562,COMPLETE
