iter	Passed	Remaining
0	46	13067
1	92	13080
2	172	16182
3	283	19829
4	386	21584
5	459	21290
6	513	20302
7	560	19346
8	608	18587
9	654	17926
10	698	17324
11	743	16845
12	787	16411
13	833	16076
14	926	16606
15	1033	17305
16	1107	17387
17	1184	17500
18	1247	17393
19	1297	17131
20	1343	16829
21	1389	16546
22	1432	16257
23	1479	16025
24	1525	15805
25	1570	15587
26	1619	15415
27	1744	15951
28	1817	15980
29	1896	16058
30	1965	16044
31	2037	16044
32	2096	15949
33	2145	15776
34	2188	15569
35	2232	15381
36	2275	15193
37	2320	15020
38	2362	14843
39	2407	14683
40	2516	14912
41	2637	15198
42	2748	15406
43	2811	15334
44	2855	15165
45	2900	15008
46	2945	14852
47	2990	14701
48	3034	14552
49	3078	14407
50	3125	14278
51	3219	14365
52	3362	14657
53	3450	14697
54	3500	14575
55	3546	14437
56	3616	14403
57	3664	14279
58	3709	14144
59	3752	14009
60	3797	13883
61	3857	13813
62	3954	13872
63	4052	13930
64	4135	13932
65	4203	13883
66	4253	13774
67	4297	13650
68	4341	13529
69	4386	13410
70	4429	13289
71	4474	13175
72	4520	13067
73	4595	13041
74	4698	13094
75	4774	13067
76	4852	13046
77	4925	13008
78	4974	12909
79	5020	12802
80	5065	12695
81	5109	12587
82	5153	12480
83	5196	12372
84	5240	12268
85	5288	12176
86	5385	12195
87	5481	12207
88	5591	12250
89	5666	12214
90	5723	12138
91	5770	12042
92	5812	11937
93	5856	11837
94	5899	11737
95	5942	11636
96	5984	11537
97	6029	11443
98	6073	11350
99	6174	11361
100	6278	11375
101	6354	11339
102	6432	11303
103	6483	11221
104	6528	11129
105	6574	11040
106	6619	10949
107	6665	10862
108	6707	10768
109	6752	10681
110	6802	10602
111	6905	10604
112	7014	10614
113	7093	10577
114	7198	10578
115	7253	10505
116	7301	10421
117	7342	10329
118	7387	10243
119	7432	10158
120	7478	10074
121	7523	9990
122	7575	9915
123	7650	9871
124	7747	9854
125	7842	9833
126	7914	9783
127	7990	9738
128	8049	9671
129	8096	9591
130	8142	9509
131	8186	9426
132	8227	9340
133	8272	9260
134	8319	9182
135	8363	9101
136	8430	9046
137	8539	9034
138	8625	8997
139	8692	8940
140	8769	8894
141	8833	8833
142	8912	8788
143	8959	8711
144	9007	8634
145	9053	8557
146	9098	8479
147	9146	8404
148	9230	8362
149	9310	8317
150	9403	8282
151	9476	8229
152	9545	8173
153	9607	8110
154	9662	8041
155	9713	7969
156	9759	7894
157	9804	7819
158	9849	7743
159	9893	7667
160	9940	7594
161	9987	7521
162	10067	7473
163	10190	7456
164	10258	7398
165	10329	7342
166	10393	7281
167	10448	7214
168	10493	7140
169	10536	7065
170	10582	6993
171	10629	6921
172	10676	6850
173	10721	6778
174	10769	6707
175	10851	6658
176	10954	6622
177	11036	6572
178	11101	6512
179	11169	6453
180	11223	6386
181	11303	6334
182	11346	6262
183	11386	6188
184	11427	6115
185	11469	6043
186	11516	5973
187	11563	5904
188	11684	5873
189	11817	5846
190	11896	5792
191	11943	5722
192	11989	5652
193	12033	5582
194	12077	5512
195	12116	5440
196	12159	5370
197	12203	5300
198	12246	5230
199	12346	5185
200	12483	5154
201	12570	5102
202	12623	5036
203	12670	4968
204	12716	4900
