iter	Passed	Remaining
0	13	2850
1	25	2564
2	37	2549
3	47	2413
4	57	2323
5	67	2260
6	77	2214
7	87	2179
8	98	2176
9	108	2146
10	119	2131
11	129	2105
12	139	2078
13	149	2059
14	159	2036
15	168	2015
16	179	2002
17	190	1997
18	200	1986
19	211	1974
20	221	1958
21	232	1951
22	241	1934
23	251	1917
24	261	1905
25	272	1900
26	283	1887
27	293	1879
28	304	1867
29	314	1854
30	324	1842
31	334	1826
32	343	1812
33	354	1802
34	365	1795
35	377	1795
36	389	1789
37	400	1782
38	411	1773
39	422	1763
40	432	1752
41	443	1743
42	454	1733
43	464	1722
44	474	1707
45	484	1696
46	495	1687
47	505	1675
48	516	1664
49	526	1651
50	535	1638
51	545	1626
52	555	1612
53	564	1600
54	576	1593
55	586	1580
56	596	1569
57	606	1557
58	617	1548
59	628	1538
60	638	1528
61	648	1516
62	658	1504
63	668	1493
64	679	1483
65	689	1473
66	700	1464
67	710	1453
68	722	1444
69	732	1432
70	742	1421
71	751	1409
72	762	1398
73	771	1387
74	781	1376
75	791	1364
76	801	1353
77	811	1342
78	821	1330
79	831	1319
80	840	1307
81	851	1297
82	861	1287
83	872	1276
84	881	1265
85	892	1255
86	902	1244
87	913	1234
88	924	1225
89	934	1215
90	944	1204
91	954	1192
92	963	1181
93	974	1170
94	983	1160
95	993	1149
96	1003	1138
97	1013	1127
98	1023	1116
99	1033	1106
100	1043	1095
101	1053	1084
102	1063	1073
103	1073	1063
104	1083	1052
105	1093	1042
106	1104	1031
107	1113	1021
108	1123	1010
109	1133	999
110	1143	988
111	1153	978
112	1163	968
113	1173	957
114	1184	947
115	1194	937
116	1204	926
117	1213	915
118	1223	904
119	1234	894
120	1244	884
121	1254	873
122	1263	863
123	1273	852
124	1284	842
125	1294	831
126	1304	821
127	1313	810
128	1324	800
129	1334	790
130	1343	779
131	1353	769
132	1363	758
133	1373	748
134	1383	737
135	1392	727
136	1402	716
137	1412	706
138	1422	695
139	1432	685
140	1441	674
141	1451	664
142	1461	654
143	1471	643
144	1481	633
145	1492	623
146	1502	613
147	1512	602
148	1522	592
149	1532	582
150	1542	572
151	1552	561
152	1563	551
153	1573	541
154	1584	531
155	1594	521
156	1604	510
157	1613	500
158	1623	490
159	1634	480
160	1644	469
161	1654	459
162	1664	449
163	1674	439
164	1684	428
165	1695	418
166	1705	408
167	1715	398
168	1726	388
169	1737	378
170	1747	367
171	1758	357
172	1768	347
173	1778	337
174	1790	327
175	1801	317
176	1811	307
177	1821	296
178	1831	286
179	1841	276
180	1852	266
181	1861	255
182	1871	245
183	1881	235
184	1892	225
185	1901	214
186	1911	204
187	1921	194
188	1931	183
189	1941	173
190	1951	163
191	1961	153
192	1971	142
193	1981	132
194	1990	122
195	2001	112
196	2011	102
197	2021	91
198	2032	81
199	2042	71
200	2052	61
201	2062	51
202	2073	40
203	2083	30
204	2093	20
205	2103	10
206	2113	0
