iter	Passed	Remaining
0	46	13059
1	91	12929
2	138	12980
3	184	12883
4	230	12883
5	275	12769
6	320	12668
7	365	12621
8	410	12547
9	456	12506
10	502	12481
11	547	12413
12	592	12357
13	637	12298
14	683	12258
15	730	12235
16	773	12153
17	819	12105
18	863	12037
19	909	12001
20	955	11966
21	1000	11919
22	1046	11870
23	1090	11811
24	1135	11768
25	1179	11700
26	1224	11657
27	1270	11617
28	1314	11562
29	1359	11508
30	1402	11447
31	1450	11419
32	1497	11390
33	1544	11358
34	1589	11310
35	1635	11265
36	1681	11222
37	1725	11168
38	1769	11116
39	1813	11064
40	1857	11009
41	1900	10951
42	1945	10902
43	1990	10857
44	2037	10819
45	2083	10782
46	2128	10732
47	2175	10695
48	2221	10655
49	2273	10641
50	2320	10599
51	2365	10555
52	2408	10499
53	2452	10447
54	2498	10402
55	2547	10372
56	2593	10329
57	2640	10288
58	2685	10240
59	2731	10197
60	2775	10147
61	2821	10102
62	2865	10050
63	2908	9997
64	2952	9948
65	2997	9900
66	3042	9855
67	3087	9807
68	3132	9760
69	3179	9719
70	3225	9677
71	3271	9633
72	3319	9595
73	3365	9550
74	3408	9498
75	3454	9455
76	3500	9409
77	3546	9367
78	3594	9327
79	3640	9283
80	3685	9237
81	3729	9187
82	3774	9141
83	3819	9094
84	3864	9048
85	3907	8995
86	3951	8948
87	3997	8903
88	4041	8854
89	4086	8808
90	4131	8761
91	4175	8714
92	4223	8674
93	4269	8629
94	4317	8589
95	4365	8548
96	4408	8498
97	4454	8455
98	4499	8408
99	4547	8367
100	4593	8322
101	4639	8278
102	4684	8231
103	4731	8189
104	4775	8141
105	4821	8096
106	4867	8051
107	4911	8004
108	4956	7957
109	5001	7911
110	5048	7869
111	5095	7825
112	5138	7775
113	5183	7730
114	5230	7686
115	5281	7649
116	5328	7605
117	5373	7559
118	5418	7513
119	5461	7464
120	5511	7424
121	5559	7382
122	5613	7348
123	5658	7301
124	5704	7255
125	5750	7211
126	5798	7168
127	5846	7125
128	5891	7078
129	5935	7031
130	5980	6984
131	6025	6938
132	6073	6895
133	6117	6847
134	6162	6801
135	6207	6754
136	6252	6709
137	6300	6665
138	6347	6621
139	6393	6576
140	6439	6530
141	6482	6482
142	6529	6438
143	6576	6394
144	6620	6346
145	6664	6299
146	6709	6253
147	6754	6206
148	6800	6161
149	6844	6114
150	6886	6065
151	6931	6019
152	6977	5974
153	7020	5926
154	7063	5878
155	7109	5833
156	7151	5784
157	7196	5739
158	7242	5693
159	7283	5644
160	7329	5599
161	7372	5552
162	7416	5505
163	7461	5459
164	7506	5413
165	7552	5368
166	7598	5323
167	7644	5278
168	7691	5234
169	7736	5188
170	7780	5141
171	7824	5094
172	7870	5049
173	7914	5003
174	7960	4958
175	8004	4911
176	8045	4863
177	8090	4818
178	8133	4771
179	8179	4726
180	8224	4680
181	8269	4634
182	8315	4589
183	8357	4541
184	8401	4495
185	8445	4449
186	8487	4402
187	8532	4357
188	8575	4310
