number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_class_weight_pos,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
0,0.9850246226089693,2026-04-22 12:59:22.387524,2026-04-22 13:00:56.460406,0 days 00:01:34.072882,0.15601864044243652,45,4.531616510212273,9,687,6.387926357773329,0.2536999076681772,0.3119890406724053,COMPLETE
1,0.9859161578810884,2026-04-22 13:00:56.460406,2026-04-22 13:02:39.592479,0 days 00:01:43.132073,0.8324426408004217,72,2.1419157844870185,4,982,9.72918866945795,0.11114989443094977,0.4246782213565523,COMPLETE
2,0.9861800700787009,2026-04-22 13:02:39.592479,2026-04-22 13:04:36.389375,0 days 00:01:56.796896,0.6118528947223795,97,2.7822664515279207,7,595,3.6210622617823773,0.05958389350068958,0.27898772130408367,COMPLETE
3,0.9858268772706502,2026-04-22 13:04:36.389375,2026-04-22 13:06:01.965247,0 days 00:01:25.575872,0.5924145688620425,168,2.0968344329055206,5,793,5.628109945722504,0.14447746112718687,0.09290082543999545,COMPLETE
4,0.9857173656385978,2026-04-22 13:06:01.965247,2026-04-22 13:06:21.995365,0 days 00:00:20.030118,0.3046137691733707,185,3.0405337280886044,10,284,8.275576133048151,0.2521267904777921,0.19534422801276774,COMPLETE
5,0.9834221165493574,2026-04-22 13:06:21.997367,2026-04-22 13:06:32.318016,0 days 00:00:10.320649,0.2587799816000169,101,3.320238074122338,4,358,9.18388361870904,0.05388108577817234,1.325044568707964,COMPLETE
6,0.9854798368480736,2026-04-22 13:06:32.318016,2026-04-22 13:23:37.225063,0 days 00:17:04.907047,0.9394989415641891,165,4.726559822580909,10,911,7.976195410250031,0.01875220945578641,1.7896547008552977,COMPLETE
7,0.9711043975736325,2026-04-22 13:23:37.225063,2026-04-22 13:23:47.023621,0 days 00:00:09.798558,0.388677289689482,217,2.748636643427562,4,315,3.927972976869379,0.01947558230629543,0.5426980635477918,COMPLETE
8,0.9809630766143764,2026-04-22 13:23:47.023621,2026-04-22 13:24:49.680810,0 days 00:01:02.657189,0.07455064367977082,204,2.1955048853696035,4,565,8.219772826786357,0.06333268775321843,1.9737738732010346,COMPLETE
9,0.9880579086452965,2026-04-22 13:24:49.680810,2026-04-22 13:25:01.236353,0 days 00:00:11.555543,0.7712703466859457,112,1.905541708337954,8,207,7.561064512368886,0.1601531217136121,0.14808930346818072,COMPLETE
